iter	Passed	Remaining
0	422	210745
1	695	173060
2	984	163127
3	1251	155125
4	1602	158601
5	1871	154103
6	2133	150230
7	2381	146451
8	2687	146617
9	2975	145780
10	3251	144525
11	3530	143588
12	3789	141971
13	4078	141591
14	4372	141376
15	4701	142227
16	4974	141325
17	5253	140680
18	5568	140969
19	5911	141886
20	6212	141705
21	6329	137516
22	6611	137122
23	6877	136399
24	7162	136083
25	7462	136050
26	7809	136813
27	8158	137532
28	8463	137456
29	8811	138045
30	9122	138008
31	9410	137627
32	9732	137729
33	10007	137157
34	10333	137291
35	10680	137662
36	11002	137681
37	11310	137515
38	11624	137403
39	11912	136996
40	12263	137293
41	12549	136843
42	12793	135968
43	13076	135522
44	13396	135448
45	13660	134824
46	13928	134246
47	14205	133765
48	14473	133214
49	14752	132773
50	15057	132567
51	15314	131937
52	15596	131541
53	15889	131235
54	16174	130866
55	16432	130283
56	16710	129873
57	17006	129599
58	17274	129119
59	17510	128412
60	17765	127854
61	18052	127533
62	18287	126851
63	18567	126491
64	18834	126043
65	19159	125988
66	19443	125657
67	19738	125397
68	20044	125205
69	20352	125021
70	20648	124761
71	20899	124234
72	21203	124024
73	21545	124029
74	21810	123595
75	22166	123665
76	22496	123583
77	22847	123610
78	23116	123188
79	23346	122569
80	23606	122112
81	23918	121924
82	24215	121660
83	24500	121336
84	24816	121161
85	25085	120762
86	25336	120277
87	25588	119801
88	25904	119628
89	26166	119201
90	26498	119097
91	26725	118522
92	26990	118121
93	27243	117670
94	27505	117261
95	27727	116686
96	28020	116414
97	28284	116024
98	28520	115520
99	28777	115108
100	29042	114730
101	29338	114476
102	29617	114157
103	29851	113665
104	30127	113336
105	30400	112999
106	30666	112636
107	30908	112187
108	31217	111981
109	31516	111740
110	31822	111523
111	32084	111150
112	32384	110910
113	32652	110561
114	32932	110251
115	33197	109896
116	33457	109523
117	33780	109356
118	34061	109054
119	34334	108725
120	34639	108498
121	34932	108233
122	35164	107781
123	35389	107311
124	35707	107123
125	36007	106877
126	36324	106684
127	36604	106382
128	36916	106171
129	37282	106110
130	37673	106119
131	38003	105948
132	38391	105936
133	38728	105779
134	39004	105456
135	39293	105168
136	39564	104830
137	39808	104426
138	40111	104173
139	40382	103841
140	40629	103446
141	40878	103060
142	41147	102725
143	41439	102448
144	41753	102223
145	42009	101857
146	42285	101541
147	42594	101304
148	42906	101075
149	43194	100788
150	43468	100466
151	43710	100074
152	44005	99802
153	44276	99478
154	44553	99167
155	44835	98867
156	45174	98693
157	45501	98491
158	45836	98303
159	46093	97948
160	46402	97705
161	46652	97335
162	47022	97219
163	47282	96870
164	47580	96603
165	47874	96325
166	48196	96104
167	48476	95798
168	48752	95484
169	49071	95255
170	49427	95096
171	49722	94819
172	50048	94600
173	50356	94346
174	50646	94057
175	50934	93766
176	51215	93460
177	51463	93097
178	51827	92942
179	52147	92706
180	52404	92359
181	52709	92096
182	53116	92009
183	53465	91820
184	53814	91630
185	54140	91398
186	54489	91204
187	54843	91017
188	55120	90700
189	55419	90421
190	55691	90097
191	55934	89728
192	56220	89428
193	56514	89141
194	56831	88889
195	57076	88526
196	57399	88283
197	57649	87929
198	57918	87605
199	58242	87363
200	58512	87040
201	58817	86771
202	59118	86493
203	59448	86259
204	59801	86056
205	60111	85790
206	60428	85534
207	60757	85294
208	61064	85023
209	61332	84697
210	61574	84337
211	61880	84063
212	62200	83810
213	62438	83445
214	62683	83091
215	62953	82772
216	63266	82509
217	63525	82175
218	63812	81878
219	64096	81577
220	64357	81247
221	64601	80897
222	64909	80627
223	65200	80336
224	65469	80018
225	65732	79692
226	65986	79358
227	66232	79014
228	66510	78708
229	66777	78390
230	67098	78136
231	67372	77827
232	67655	77528
233	67919	77207
234	68198	76904
235	68466	76589
236	68764	76308
237	69129	76100
238	69518	75917
239	69846	75666
240	70208	75452
241	70569	75235
242	70834	74915
243	71087	74583
244	71389	74303
245	71641	73971
246	71921	73668
247	72210	73374
248	72473	73055
249	72760	72760
250	73049	72467
251	73366	72202
252	73616	71870
253	73889	71562
254	74174	71265
255	74456	70966
256	74705	70635
257	75005	70354
258	75269	70038
259	75549	69737
260	75847	69454
261	76100	69129
262	76365	68816
263	76625	68498
264	76902	68196
265	77214	67925
266	77500	67631
267	77768	67322
268	78073	67044
269	78339	66733
270	78580	66402
271	78847	66092
272	79103	65774
273	79395	65487
274	79667	65182
275	79941	64879
