
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="apr",="fc_admin",="des_c",="def_c",="ref_c"

="1.producto",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="2.producto",="35.6***",="389.4***",="13.3***",="7.68***",="6.34**"
="",="(8.32)",="(117.9)",="(2.56)",="(2.50)",="(2.91)"

="4.producto",="13.9*",="12.6",="0.24",="4.41*",="-2.42"
="",="(7.47)",="(120.6)",="(2.27)",="(2.32)",="(3.18)"

="5.producto",="23.4",="598.7***",="13.5***",="2.41",="-5.63"
="",="(14.2)",="(152.4)",="(4.00)",="(3.93)",="(4.08)"

="_cons",="-183.5***",="-1851.0***",="43.3***",="-43.5***",="-39.1***"
="",="(5.83)",="(95.2)",="(1.65)",="(1.84)",="(2.36)"

="N",="6304",="6304",="6304",="6304",="6304"
="asb",="-130.2",="-117.8",="-2.23",="-41.4",="22.7"
="asb_se",="70.1",="1131.4",="21.3",="21.8",="29.8"
="asl",="-13.6",="234.3",="0.14",="-5.90",="-13.4"
="asl_se",="19.6",="240.5",="5.63",="5.61",="6.20"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
