
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="fc_admin",="fc_admin",="def_c",="def_c",="apr",="apr"

="2.t_producto",="-379.9***",="-363.9***",="-0.064***",="-0.063***",="-0.34***",="-0.34***"
="",="(111.4)",="(115.3)",="(0.023)",="(0.023)",="(0.081)",="(0.082)"

="4.t_producto",="-78.8",="-116.9",="-0.023",="-0.022",="-0.10",="-0.10"
="",="(114.5)",="(117.7)",="(0.021)",="(0.021)",="(0.074)",="(0.075)"

="N",="6304",="6304",="6304",="6304",="6304",="6304"
="R-sq",="0.007",="0.018",="0.013",="0.025",="0.011",="0.020"
="Control Mean",="",="1850.6",="",="0.43",="",="1.83"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
