
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="pago_frec_vol_promise",="pago_frec_vol_fee",="pago_frec_vol_promise",="pago_frec_vol_fee",="tau_hat_oobpredictions",="tau_hat_oobpredictions"

="pr_recup",="-0.00036",="0.00017",="-0.00069",="-0.00081",="-1.02",="-0.90"
="",="(0.00059)",="(0.00040)",="(0.00094)",="(0.00078)",="(0.68)",="(0.69)"

="dummy_dow1",="-0.16",="-0.057",="0.083",="-0.031",="116.9",="114.1"
="",="(0.037)",="(0.026)",="(0.085)",="(0.064)",="(51.7)",="(51.7)"

="dummy_dow2",="-0.078",="-0.051",="0.015",="-0.013",="0",="0"
="",="(0.036)",="(0.025)",="(0.067)",="(0.066)",="(.)",="(.)"

="dummy_dow3",="-0.040",="0",="0",="0.043",="52.0",="46.7"
="",="(0.037)",="(.)",="(.)",="(0.094)",="(52.2)",="(51.9)"

="dummy_dow4",="-0.034",="-0.055",="0.041",="0",="132.2",="128.5"
="",="(0.034)",="(0.026)",="(0.064)",="(.)",="(50.6)",="(50.6)"

="dummy_dow5",="0",="-0.077",="0.092",="-0.070",="8.71",="5.18"
="",="(.)",="(0.023)",="(0.074)",="(0.067)",="(55.4)",="(55.2)"

="dummy_dow6",="-0.098",="-0.026",="0.050",="0.0035",="57.7",="56.2"
="",="(0.035)",="(0.028)",="(0.073)",="(0.074)",="(59.4)",="(59.2)"

="dummy_suc1",="0.23",="-0.0097",="0.13",="0.015",="110.1",="104.6"
="",="(0.067)",="(0.026)",="(0.13)",="(0.058)",="(60.7)",="(60.9)"

="dummy_suc2",="0",="0",="0",="0",="-108.1",="-110.8"
="",="(.)",="(.)",="(.)",="(.)",="(68.1)",="(68.3)"

="dummy_suc3",="0.081",="0.037",="0.12",="0.12",="89.4",="86.4"
="",="(0.056)",="(0.026)",="(0.10)",="(0.068)",="(59.4)",="(59.2)"

="dummy_suc4",="-0.086",="-0.12",="-0.19",="-0.14",="73.6",="71.0"
="",="(0.050)",="(0.021)",="(0.081)",="(0.054)",="(57.7)",="(58.0)"

="dummy_suc5",="-0.36",="-0.080",="-0.39",="-0.094",="105.0",="97.5"
="",="(0.049)",="(0.024)",="(0.069)",="(0.058)",="(57.7)",="(58.3)"

="dummy_suc6",="0.20",="0.23",="0.14",="0.20",="0",="0"
="",="(0.055)",="(0.034)",="(0.10)",="(0.069)",="(.)",="(.)"

="num_arms_d3",="-0.046",="-0.019",="-0.037",="-0.016",="9.37",="6.51"
="",="(0.026)",="(0.017)",="(0.051)",="(0.033)",="(36.7)",="(36.7)"

="num_arms_d4",="-0.028",="0.035",="-0.12",="0.15",="-36.2",="-33.8"
="",="(0.037)",="(0.025)",="(0.089)",="(0.067)",="(63.6)",="(63.7)"

="num_arms_d5",="-0.068",="0.023",="0.39",="0.25",="-4.70",="-15.5"
="",="(0.049)",="(0.038)",="(0.098)",="(0.14)",="(46.7)",="(47.4)"

="num_arms_d6",="-0.18",="-0.0044",="0",="0.43",="-130.1",="-122.5"
="",="(0.065)",="(0.024)",="(.)",="(0.33)",="(216.4)",="(216.7)"

="visit_number_d2",="-0.0072",="-0.012",="0.065",="-0.015",="5.70",="9.68"
="",="(0.029)",="(0.018)",="(0.061)",="(0.046)",="(48.6)",="(48.5)"

="visit_number_d3",="-0.022",="-0.095",="-0.11",="-0.21",="175.9",="184.6"
="",="(0.046)",="(0.031)",="(0.083)",="(0.094)",="(59.1)",="(59.9)"

="visit_number_d4",="-0.029",="-0.0013",="-0.69",="-0.036",="292.4",="310.2"
="",="(0.051)",="(0.033)",="(0.13)",="(0.17)",="(64.0)",="(66.5)"

="visit_number_d5",="0.052",="0.0096",="0.026",="-0.14",="123.7",="133.3"
="",="(0.091)",="(0.051)",="(0.099)",="(0.084)",="(61.4)",="(64.9)"

="visit_number_d6",="0.0011",="-0.12",="0",="0",="0",="0"
="",="(0.11)",="(0.036)",="(.)",="(.)",="(.)",="(.)"

="visit_number_d7",="0.076",="-0.057",="0",="0",="143.9",="150.6"
="",="(0.084)",="(0.034)",="(.)",="(.)",="(54.8)",="(56.1)"

="masqueprepa",="",="",="0.0060",="0.044",="",="3.53"
="",="",="",="(0.045)",="(0.024)",="",="(28.6)"

="plan_gasto",="",="",="0.039",="-0.0069",="",="-17.3"
="",="",="",="(0.027)",="(0.016)",="",="(14.7)"

="pb",="",="",="-0.067",="0.027",="",="35.9"
="",="",="",="(0.049)",="(0.043)",="",="(33.4)"

="_cons",="0.52",="0.16",="0.44",="0.21",="-357.0",="-344.3"
="",="(0.078)",="(0.047)",="(0.11)",="(0.092)",="(84.9)",="(84.8)"

="N",="2129",="2548",="761",="925",="1259",="1259"
="R-sq",="0.168",="0.131",="0.243",="0.143",="0.041",="0.043"
="Dep. Var. Mean",="0.34",="0.11",="0.37",="0.15",="-327.4",="-327.4"

="Standard errors in parentheses"
