
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="fc_admin",="sum_int_c",="sum_pay_fee_c",="downpayment_capital",="cost_losing_pawn",="def_c",="apr"

="2.t_producto",="-379.7***",="-157.3***",="32.1***",="-0.57",="-254.5**",="-0.065***",="-0.34***"
="",="(111.4)",="(34.9)",="(1.43)",="(3.03)",="(104.8)",="(0.023)",="(0.080)"

="4.t_producto",="-84.9",="-24.9",="1.34**",="-3.98",="-61.4",="-0.025",="-0.12"
="",="(114.6)",="(38.4)",="(0.54)",="(2.47)",="(109.2)",="(0.021)",="(0.073)"

="N",="6304",="6304",="6304",="6304",="6304",="6304",="6304"
="R-sq",="0.007",="0.022",="0.151",="0.003",="0.007",="0.013",="0.011"
="Control Mean",="1851.0",="545.9",="0",="5.82",="1305.1",="0.44",="1.84"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
