
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)"
="",="fc_admin",="fc_admin",="fc_admin",="sum_int_c",="sum_int_c",="sum_int_c",="sum_pay_fee_c",="sum_pay_fee_c",="sum_pay_fee_c",="cost_losing_pawn",="cost_losing_pawn",="cost_losing_pawn",="downpayment_capital",="downpayment_capital",="downpayment_capital",="def_c",="def_c",="def_c",="apr",="apr",="apr",="eff_sum_int_c",="eff_sum_int_c",="eff_sum_int_c",="eff_sum_pay_fee_c",="eff_sum_pay_fee_c",="eff_sum_pay_fee_c",="eff_cost_losing_pawn",="eff_cost_losing_pawn",="eff_cost_losing_pawn",="eff_downpayment_capital",="eff_downpayment_capital",="eff_downpayment_capital"

="2.t_producto",="-389.4***",="-379.7***",="-315.2***",="-124.2***",="-157.3***",="-140.3***",="32.4***",="32.1***",="31.0***",="-297.7***",="-254.5**",="-205.9*",="-1.48",="-0.57",="0.75",="-0.077***",="-0.065***",="-0.067***",="-0.36***",="-0.34***",="-0.35***",="-0.063***",="-0.086***",="-0.085***",="0.015***",="0.015***",="0.014***",="-0.24***",="-0.20***",="-0.20***",="0.00013",="0.00084",="0.0016"
="",="(117.8)",="(111.4)",="(117.5)",="(40.0)",="(34.9)",="(38.1)",="(1.54)",="(1.43)",="(1.69)",="(114.1)",="(104.8)",="(112.6)",="(3.14)",="(3.03)",="(3.55)",="(0.025)",="(0.023)",="(0.025)",="(0.083)",="(0.080)",="(0.084)",="(0.019)",="(0.016)",="(0.018)",="(0.00063)",="(0.00054)",="(0.00058)",="(0.080)",="(0.073)",="(0.078)",="(0.0020)",="(0.0020)",="(0.0024)"

="4.t_producto",="-75.0",="-84.9",="-48.5",="8.16",="-24.9",="-17.5",="1.60***",="1.34**",="1.55***",="-84.8",="-61.4",="-32.5",="-3.73",="-3.98",="-2.78",="-0.042*",="-0.025",="-0.039*",="-0.15**",="-0.12",="-0.16**",="0.026",="0.010",="0.011",="0.00095***",="0.00100***",="0.0010***",="-0.14*",="-0.088",="-0.13*",="-0.0016",="-0.0020",="-0.0013"
="",="(117.0)",="(114.6)",="(120.6)",="(49.5)",="(38.4)",="(39.3)",="(0.29)",="(0.54)",="(0.58)",="(111.5)",="(109.2)",="(116.9)",="(2.57)",="(2.47)",="(2.75)",="(0.023)",="(0.021)",="(0.023)",="(0.073)",="(0.073)",="(0.076)",="(0.024)",="(0.018)",="(0.020)",="(0.00016)",="(0.00028)",="(0.00029)",="(0.072)",="(0.068)",="(0.074)",="(0.0015)",="(0.0016)",="(0.0018)"

="N",="6304",="6304",="4837",="6304",="6304",="4837",="6304",="6304",="4837",="6304",="6304",="4837",="6304",="6304",="4837",="6304",="6304",="4837",="6304",="6304",="4837",="6304",="6304",="4837",="6304",="6304",="4837",="6304",="6304",="4837",="6304",="6304",="4837"
="R-sq",="0.004",="0.007",="0.007",="0.005",="0.022",="0.022",="0.147",="0.151",="0.139",="0.002",="0.007",="0.007",="0.001",="0.003",="0.004",="0.004",="0.013",="0.015",="0.007",="0.011",="0.013",="0.013",="0.049",="0.043",="0.260",="0.267",="0.251",="0.004",="0.013",="0.014",="0.000",="0.005",="0.006"
="Control Mean",="1851.0",="1851.0",="1813.6",="545.9",="545.9",="519.8",="0",="0",="0",="1305.1",="1305.1",="1293.9",="5.82",="5.82",="4.90",="0.44",="0.44",="0.45",="1.84",="1.84",="1.86",="0.30",="0.30",="0.29",="0",="0",="0",="1.38",="1.38",="1.42",="0.0035",="0.0035",="0.0031"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
