
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="fc_admin",="sum_105_int_c",="sum_105_pay_fee_c",="downpayment_capital",="cost_losing_pawn",="def_105",="apr"

="2.t_producto",="-641.1***",="-46.8**",="23.9***",="4.50",="-618.1***",="-0.17***",="-0.65***"
="",="(142.6)",="(18.4)",="(0.94)",="(5.16)",="(135.6)",="(0.027)",="(0.100)"

="4.t_producto",="-75.2",="-25.6",="1.13***",="4.63",="-50.7",="-0.0093",="-0.034"
="",="(145.0)",="(18.7)",="(0.31)",="(7.29)",="(136.6)",="(0.023)",="(0.089)"

="N",="6304",="6304",="6304",="6304",="6304",="6304",="6304"
="R-sq",="0.011",="0.015",="0.167",="0.003",="0.011",="0.029",="0.031"
="Control Mean",="2436.2",="343.1",="0",="13.3",="2093.1",="0.67",="2.63"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
