
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="fc_admin",="sum_int_c",="downpayment_capital",="cost_losing_pawn",="def_imp",="apr"

="2.t_producto",="-263.6***",="-170.9***",="-1.28",="-124.8***",="-0.12***",="-0.16***"
="",="(53.1)",="(37.3)",="(3.09)",="(32.4)",="(0.024)",="(0.027)"

="4.t_producto",="-37.3",="-30.7",="-1.83",="-7.91",="-0.012",="0.0086"
="",="(56.4)",="(41.9)",="(2.93)",="(34.5)",="(0.024)",="(0.028)"

="N",="6304",="6304",="6304",="6304",="6304",="6304"
="R-sq",="0.018",="0.022",="0.002",="0.010",="0.017",="0.043"
="Control Mean",="1029.8",="565.8",="7.06",="463.9",="0.51",="0.66"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
