
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="fc_admin",="sum_int_c",="sum_pay_fee_c",="cost_losing_pawn",="downpayment_capital",="apr",="eff_sum_int_c",="eff_sum_pay_fee_c",="eff_cost_losing_pawn",="eff_downpayment_capital"

="3.t_producto",="-22.1",="-6.71",="0",="-15.4",="0.93",="-0.0093",="-0.014",="0",="0.0048",="0.000081"
="",="(130.2)",="(43.2)",="(.)",="(126.5)",="(3.97)",="(0.030)",="(0.013)",="(.)",="(0.034)",="(0.0013)"

="5.t_producto",="-106.6",="-39.8",="0",="-66.8",="-2.29",="-0.019",="-0.0051",="0",="-0.013",="-0.00067"
="",="(114.7)",="(32.7)",="(.)",="(116.0)",="(3.31)",="(0.030)",="(0.011)",="(.)",="(0.033)",="(0.0015)"

="N",="5144",="5144",="5144",="5144",="5144",="5144",="5144",="5144",="5144",="5144"
="R-sq",="0.007",="0.023",=".",="0.006",="0.003",="0.004",="0.041",=".",="0.007",="0.004"
="Control Mean",="1851.0",="545.9",="0",="1305.1",="5.82",="0.86",="0.24",="0",="0.62",="0.0027"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
