
="",="(1)",="(2)",="(3)",="(4)"
="",="def_c",="def_120",="pos_pay_default",="pay_30_default"

="pro_2",="-0.11***",="-0.11***",="-0.12***",="-0.066***"
="",="(0.022)",="(0.022)",="(0.020)",="(0.018)"

="dummy_dow1",="0.00092",="0.00092",="-0.013",="0.0037"
="",="(0.037)",="(0.037)",="(0.035)",="(0.030)"

="dummy_dow2",="-0.016",="-0.016",="0.0078",="0.029"
="",="(0.044)",="(0.044)",="(0.042)",="(0.040)"

="dummy_dow3",="0.061",="0.061",="0.036",="0.019"
="",="(0.038)",="(0.038)",="(0.036)",="(0.029)"

="dummy_dow4",="-0.0096",="-0.0096",="-0.026",="-0.0052"
="",="(0.041)",="(0.041)",="(0.037)",="(0.030)"

="dummy_dow5",="0.034",="0.034",="-0.00042",="0.021"
="",="(0.041)",="(0.041)",="(0.034)",="(0.027)"

="dummy_dow6",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="dummy_suc1",="-0.090**",="-0.090**",="-0.085**",="-0.050**"
="",="(0.045)",="(0.045)",="(0.038)",="(0.024)"

="dummy_suc2",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="dummy_suc3",="-0.042",="-0.042",="-0.11***",="-0.040"
="",="(0.047)",="(0.047)",="(0.037)",="(0.032)"

="dummy_suc4",="0.021",="0.021",="-0.028",="0.014"
="",="(0.046)",="(0.046)",="(0.035)",="(0.029)"

="dummy_suc5",="0.025",="0.025",="-0.025",="0.028"
="",="(0.047)",="(0.047)",="(0.035)",="(0.028)"

="dummy_suc6",="0.013",="0.013",="-0.13***",="-0.072**"
="",="(0.049)",="(0.049)",="(0.038)",="(0.032)"

="num_arms_d3",="-0.059*",="-0.059*",="0.036",="0.014"
="",="(0.031)",="(0.031)",="(0.028)",="(0.025)"

="num_arms_d4",="-0.040",="-0.040",="0.050",="0.022"
="",="(0.043)",="(0.043)",="(0.041)",="(0.038)"

="num_arms_d5",="-0.16**",="-0.16**",="0.0061",="-0.054"
="",="(0.066)",="(0.066)",="(0.058)",="(0.041)"

="num_arms_d6",="0.039",="0.039",="0.022",="-0.0058"
="",="(0.089)",="(0.089)",="(0.073)",="(0.071)"

="visit_number_d2",="0.0074",="0.0074",="-0.014",="0.014"
="",="(0.033)",="(0.033)",="(0.031)",="(0.028)"

="visit_number_d3",="0.034",="0.034",="-0.038",="0.026"
="",="(0.056)",="(0.056)",="(0.050)",="(0.046)"

="visit_number_d4",="0.077",="0.077",="-0.024",="0.033"
="",="(0.072)",="(0.072)",="(0.057)",="(0.055)"

="visit_number_d5",="-0.12",="-0.12",="-0.18***",="-0.11**"
="",="(0.087)",="(0.087)",="(0.061)",="(0.050)"

="visit_number_d6",="-0.012",="-0.012",="-0.080",="0.022"
="",="(0.12)",="(0.12)",="(0.12)",="(0.11)"

="visit_number_d7",="-0.011",="-0.011",="-0.097",="0.00068"
="",="(0.10)",="(0.10)",="(0.080)",="(0.072)"

="_cons",="0.58***",="0.58***",="0.37***",="0.23***"
="",="(0.052)",="(0.052)",="(0.044)",="(0.033)"

="N",="5085",="5085",="5085",="5085"
="R-sq",="0.026",="0.026",="0.030",="0.019"
="Control Mean",="0.56",="0.56",="0.31",="0.23"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
