
="",="(1)",="(2)",="(3)"
="",="def_c",="def_120",="pos_pay_default"

="pro_3",="-0.0063",="-0.0063",="-0.027"
="",="(0.021)",="(0.021)",="(0.020)"

="dummy_dow1",="0.0023",="0.0023",="-0.043"
="",="(0.033)",="(0.033)",="(0.035)"

="dummy_dow2",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="dummy_dow3",="0.028",="0.028",="-0.033"
="",="(0.037)",="(0.037)",="(0.040)"

="dummy_dow4",="0.017",="0.017",="-0.069"
="",="(0.036)",="(0.036)",="(0.032)"

="dummy_dow5",="0.015",="0.015",="-0.063"
="",="(0.034)",="(0.034)",="(0.034)"

="dummy_dow6",="-0.0026",="-0.0026",="-0.064"
="",="(0.044)",="(0.044)",="(0.037)"

="dummy_suc1",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="dummy_suc2",="0.11",="0.11",="0.13"
="",="(0.035)",="(0.035)",="(0.047)"

="dummy_suc3",="0.048",="0.048",="-0.067"
="",="(0.033)",="(0.033)",="(0.035)"

="dummy_suc4",="0.11",="0.11",="0.0074"
="",="(0.034)",="(0.034)",="(0.038)"

="dummy_suc5",="0.063",="0.063",="-0.075"
="",="(0.033)",="(0.033)",="(0.035)"

="dummy_suc6",="0.021",="0.021",="-0.13"
="",="(0.031)",="(0.031)",="(0.032)"

="num_arms_d3",="-0.037",="-0.037",="0.014"
="",="(0.032)",="(0.032)",="(0.031)"

="num_arms_d4",="-0.013",="-0.013",="-0.036"
="",="(0.046)",="(0.046)",="(0.035)"

="num_arms_d5",="-0.11",="-0.11",="-0.027"
="",="(0.067)",="(0.067)",="(0.060)"

="num_arms_d6",="0.13",="0.13",="-0.059"
="",="(0.078)",="(0.078)",="(0.098)"

="visit_number_d2",="-0.073",="-0.073",="-0.048"
="",="(0.036)",="(0.036)",="(0.031)"

="visit_number_d3",="-0.048",="-0.048",="-0.017"
="",="(0.059)",="(0.059)",="(0.047)"

="visit_number_d4",="-0.053",="-0.053",="-0.11"
="",="(0.077)",="(0.077)",="(0.041)"

="visit_number_d5",="-0.15",="-0.15",="-0.081"
="",="(0.095)",="(0.095)",="(0.069)"

="visit_number_d6",="0.021",="0.021",="-0.017"
="",="(0.12)",="(0.12)",="(0.10)"

="visit_number_d7",="-0.069",="-0.069",="-0.10"
="",="(0.10)",="(0.10)",="(0.072)"

="_cons",="0.53",="0.53",="0.36"
="",="(0.038)",="(0.038)",="(0.041)"

="N",="4758",="4758",="4758"
="R-sq",="0.019",="0.019",="0.045"
="Control Mean",="0.56",="0.56",="0.25"

="Standard errors in parentheses"
