
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="def_c",="def_c",="def_c",="def_120",="def_120",="def_120",="pos_pay_default",="pos_pay_default",="pos_pay_default",="pay_30_default",="pay_30_default",="pay_30_default"

="pro_4",="-0.012",="",="",="-0.012",="",="",="-0.020",="",="",="-0.0045",="",=""
="",="(0.019)",="",="",="(0.019)",="",="",="(0.017)",="",="",="(0.016)",="",=""

="dummy_dow1",="-0.0096",="",="",="-0.0096",="",="",="0.0070",="",="",="0.026",="",=""
="",="(0.037)",="",="",="(0.037)",="",="",="(0.033)",="",="",="(0.030)",="",=""

="dummy_dow2",="-0.0086",="",="",="-0.0086",="",="",="-0.00066",="",="",="0.0068",="",=""
="",="(0.036)",="",="",="(0.036)",="",="",="(0.032)",="",="",="(0.027)",="",=""

="dummy_dow3",="0",="",="",="0",="",="",="0",="",="",="0",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""

="dummy_dow4",="-0.0065",="",="",="-0.0065",="",="",="-0.022",="",="",="0.010",="",=""
="",="(0.038)",="",="",="(0.038)",="",="",="(0.035)",="",="",="(0.032)",="",=""

="dummy_dow5",="0.038",="",="",="0.038",="",="",="-0.0025",="",="",="0.030",="",=""
="",="(0.038)",="",="",="(0.038)",="",="",="(0.034)",="",="",="(0.030)",="",=""

="dummy_dow6",="-0.038",="",="",="-0.038",="",="",="-0.047",="",="",="-0.014",="",=""
="",="(0.039)",="",="",="(0.039)",="",="",="(0.034)",="",="",="(0.028)",="",=""

="dummy_suc1",="-0.056*",="",="",="-0.056*",="",="",="-0.036",="",="",="0.0021",="",=""
="",="(0.032)",="",="",="(0.032)",="",="",="(0.034)",="",="",="(0.025)",="",=""

="dummy_suc2",="0",="",="",="0",="",="",="0",="",="",="0",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""

="dummy_suc3",="-0.066**",="",="",="-0.066**",="",="",="-0.15***",="",="",="-0.043",="",=""
="",="(0.033)",="",="",="(0.033)",="",="",="(0.035)",="",="",="(0.029)",="",=""

="dummy_suc4",="0.020",="",="",="0.020",="",="",="-0.044",="",="",="0.050",="",=""
="",="(0.034)",="",="",="(0.034)",="",="",="(0.039)",="",="",="(0.031)",="",=""

="dummy_suc5",="-0.047",="",="",="-0.047",="",="",="-0.14***",="",="",="-0.030",="",=""
="",="(0.034)",="",="",="(0.034)",="",="",="(0.034)",="",="",="(0.028)",="",=""

="dummy_suc6",="-0.064*",="",="",="-0.064*",="",="",="-0.21***",="",="",="-0.10***",="",=""
="",="(0.037)",="",="",="(0.037)",="",="",="(0.034)",="",="",="(0.029)",="",=""

="num_arms_d3",="-0.060**",="",="",="-0.060**",="",="",="0.030",="",="",="0.025",="",=""
="",="(0.030)",="",="",="(0.030)",="",="",="(0.027)",="",="",="(0.023)",="",=""

="num_arms_d4",="-0.031",="",="",="-0.031",="",="",="0.041",="",="",="0.021",="",=""
="",="(0.038)",="",="",="(0.038)",="",="",="(0.036)",="",="",="(0.034)",="",=""

="num_arms_d5",="-0.10*",="",="",="-0.10*",="",="",="-0.015",="",="",="-0.039",="",=""
="",="(0.062)",="",="",="(0.062)",="",="",="(0.059)",="",="",="(0.054)",="",=""

="num_arms_d6",="0.15*",="",="",="0.15*",="",="",="0.20",="",="",="0.20",="",=""
="",="(0.089)",="",="",="(0.089)",="",="",="(0.15)",="",="",="(0.18)",="",=""

