
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="def_c",="def_c",="def_c",="def_120",="def_120",="def_120",="pos_pay_default",="pos_pay_default",="pos_pay_default"

="pro_5",="0.0077",="",="",="0.0077",="",="",="-0.013",="",=""
="",="(0.020)",="",="",="(0.020)",="",="",="(0.019)",="",=""

="dummy_dow1",="0.00096",="",="",="0.00096",="",="",="0.012",="",=""
="",="(0.038)",="",="",="(0.038)",="",="",="(0.034)",="",=""

="dummy_dow2",="0.035",="",="",="0.035",="",="",="-0.0069",="",=""
="",="(0.035)",="",="",="(0.035)",="",="",="(0.037)",="",=""

="dummy_dow3",="0.045",="",="",="0.045",="",="",="0.048",="",=""
="",="(0.040)",="",="",="(0.040)",="",="",="(0.035)",="",=""

="dummy_dow4",="0.019",="",="",="0.019",="",="",="-0.0058",="",=""
="",="(0.037)",="",="",="(0.037)",="",="",="(0.031)",="",=""

="dummy_dow5",="0.017",="",="",="0.017",="",="",="-0.027",="",=""
="",="(0.032)",="",="",="(0.032)",="",="",="(0.026)",="",=""

="dummy_dow6",="0",="",="",="0",="",="",="0",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",=""

="dummy_suc1",="0",="",="",="0",="",="",="0",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",=""

="dummy_suc2",="0.11***",="",="",="0.11***",="",="",="0.10**",="",=""
="",="(0.041)",="",="",="(0.041)",="",="",="(0.047)",="",=""

="dummy_suc3",="0.029",="",="",="0.029",="",="",="-0.078*",="",=""
="",="(0.041)",="",="",="(0.041)",="",="",="(0.042)",="",=""

="dummy_suc4",="0.059*",="",="",="0.059*",="",="",="0.00015",="",=""
="",="(0.035)",="",="",="(0.035)",="",="",="(0.038)",="",=""

="dummy_suc5",="-0.0020",="",="",="-0.0020",="",="",="-0.062*",="",=""
="",="(0.037)",="",="",="(0.037)",="",="",="(0.037)",="",=""

="dummy_suc6",="-0.029",="",="",="-0.029",="",="",="-0.15***",="",=""
="",="(0.041)",="",="",="(0.041)",="",="",="(0.037)",="",=""

="num_arms_d3",="-0.084***",="",="",="-0.084***",="",="",="0.030",="",=""
="",="(0.032)",="",="",="(0.032)",="",="",="(0.030)",="",=""

="num_arms_d4",="-0.039",="",="",="-0.039",="",="",="0.028",="",=""
="",="(0.043)",="",="",="(0.043)",="",="",="(0.039)",="",=""

="num_arms_d5",="-0.19***",="",="",="-0.19***",="",="",="-0.047",="",=""
="",="(0.062)",="",="",="(0.062)",="",="",="(0.053)",="",=""

="num_arms_d6",="0.035",="",="",="0.035",="",="",="0.061",="",=""
="",="(0.085)",="",="",="(0.085)",="",="",="(0.085)",="",=""

="visit_number_d2",="-0.023",="",="",="-0.023",="",="",="-0.074**",="",=""
="",="(0.033)",="",="",="(0.033)",="",="",="(0.030)",="",=""

="visit_number_d3",="0.050",="",="",="0.050",="",="",="-0.049",="",=""
="",="(0.051)",="",="",="(0.051)",="",="",="(0.045)",="",=""

="visit_number_d4",="-0.029",="",="",="-0.029",="",="",="-0.084",="",=""
="",="(0.080)",="",="",="(0.080)",="",="",="(0.055)",="",=""

="visit_number_d5",="-0.018",="",="",="-0.018",="",="",="-0.091",="",=""
="",="(0.094)",="",="",="(0.094)",="",="",="(0.075)",="",=""

="visit_number_d6",="0.070",="",="",="0.070",="",="",="0.063",="",=""
="",="(0.10)",="",="",="(0.10)",="",="",="(0.12)",="",=""

="visit_number_d7",="-0.018",="",="",="-0.018",="",="",="-0.030",="",=""
="",="(0.088)",="",="",="(0.088)",="",="",="(0.083)",="",=""

="pro_8",="",="-0.0067",="",="",="-0.0067",="",="",="-0.019",=""
="",="",="(0.025)",="",="",="(0.025)",="",="",="(0.025)",=""

="pro_9",="",="",="0.037",="",="",="0.037",="",="",="-0.010"
="",="",="",="(0.026)",="",="",="(0.026)",="",="",="(0.029)"

="_cons",="0.56***",="0.56***",="0.56***",="0.56***",="0.56***",="0.56***",="0.36***",="0.31***",="0.31***"
="",="(0.037)",="(0.015)",="(0.015)",="(0.037)",="(0.015)",="(0.015)",="(0.032)",="(0.015)",="(0.015)"

="N",="5368",="4509",="3460",="5368",="4509",="3460",="5368",="4509",="3460"
="R-sq",="0.022",="0.000",="0.001",="0.022",="0.000",="0.001",="0.028",="0.000",="0.000"
="Control Mean",="0.56",="0.56",="0.56",="0.56",="0.56",="0.56",="0.31",="0.31",="0.31"
="p-value",="",="",="0.12",="",="",="0.12",="",="",="0.54"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
