
="",="(1)",="(2)",="(3)"
="",="pago_frec_voluntario",="pago_frec_voluntario_fee",="pago_frec_voluntario_nofee"

="0.pb",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="1.pb",="-0.047",="-0.036",="-0.097"
="",="(0.037)",="(0.040)",="(0.062)"

="0.tentado",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="1.tentado",="-0.038",="-0.017",="-0.054"
="",="(0.029)",="(0.039)",="(0.049)"

="0.pb#0.tentado",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="0.pb#1.tentado",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="1.pb#0.tentado",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="1.pb#1.tentado",="0.17**",="0.27**",="0.15"
="",="(0.081)",="(0.13)",="(0.098)"

="prestamo",="-0.0000084**",="-0.000012***",="0.000013"
="",="(0.0000036)",="(0.0000030)",="(0.0000092)"

="pr_recup",="-0.00072",="-0.00068",="-0.00054"
="",="(0.00059)",="(0.00066)",="(0.00099)"

="edad",="-0.00026",="-0.00062",="0.00032"
="",="(0.0010)",="(0.0012)",="(0.0017)"

="visit_number",="-0.018",="0.0026",="-0.0071"
="",="(0.025)",="(0.034)",="(0.043)"

="faltas",="-0.064",="-0.066",="-0.060"
="",="(0.042)",="(0.040)",="(0.075)"

="genero",="0.029",="0.016",="0.042"
="",="(0.027)",="(0.029)",="(0.045)"

="dummy_dow1",="-0.026",="-0.021",="0.028"
="",="(0.078)",="(0.049)",="(0.094)"

="dummy_dow2",="-0.062",="-0.0040",="-0.0083"
="",="(0.061)",="(0.045)",="(0.079)"

="dummy_dow3",="-0.049",="0.051",="-0.017"
="",="(0.065)",="(0.087)",="(0.076)"

="dummy_dow4",="0.0022",="0.017",="0.031"
="",="(0.069)",="(0.071)",="(0.082)"

="dummy_dow5",="-0.11*",="-0.058",="0.10"
="",="(0.064)",="(0.050)",="(0.098)"

="dummy_dow6",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="dummy_suc1",="-0.21**",="-0.19***",="0.0032"
="",="(0.083)",="(0.058)",="(0.12)"

="dummy_suc2",="-0.24***",="-0.25***",="-0.091"
="",="(0.089)",="(0.060)",="(0.10)"

="dummy_suc3",="-0.090",="-0.13*",="0.060"
="",="(0.071)",="(0.072)",="(0.096)"

="dummy_suc4",="-0.35***",="-0.37***",="-0.30***"
="",="(0.059)",="(0.048)",="(0.095)"

="dummy_suc5",="-0.43***",="-0.32***",="-0.50***"
="",="(0.056)",="(0.059)",="(0.079)"

="dummy_suc6",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="_cons",="0.64***",="0.49***",="0.56***"
="",="(0.11)",="(0.13)",="(0.14)"

="N",="1570",="852",="718"
="R-sq",="0.134",="0.151",="0.215"
="Dependent Var Mean",="0.25",="0.15",="0.36"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
