
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="eff_cost_loan",="eff_cost_loan",="eff_cost_loan",="eff_cost_loan",="eff_cost_loan"

="pro_3",="-0.030",="-0.0077",="0",="-0.0015",="0.0046"
="",="(0.0061)",="(0.0053)",="(0.000054)",="(0.014)",="(0.014)"

="dummy_dow1",="0.018",="0.0078",="0",="0.0049",="0.049"
="",="(0.012)",="(0.0062)",="(0.000077)",="(0.023)",="(0.042)"

="dummy_dow2",="0.011",="0.0098",="0",="0.19",="0.092"
="",="(0.011)",="(0.0065)",="(0.000060)",="(0.044)",="(0.044)"

="dummy_dow3",="0.013",="0.000029",="0",="0.0064",="0.049"
="",="(0.012)",="(0.0062)",="(0.000082)",="(0.026)",="(0.043)"

="dummy_dow4",="0.023",="0.0098",="0",="0.00038",="0.014"
="",="(0.011)",="(0.0064)",="(0.00012)",="(0.015)",="(0.046)"

="dummy_dow5",="0.016",="0.0077",="0",="-0.000015",="0.037"
="",="(0.012)",="(0.0055)",="(0.00019)",="(0.018)",="(0.042)"

="dummy_dow6",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="dummy_suc1",="0.047",="0.0077",="0",="0.24",="0.26"
="",="(0.017)",="(0.0078)",="(0.00039)",="(0.040)",="(0.052)"

="dummy_suc2",="0.064",="0.024",="0",="0.46",="0.28"
="",="(0.014)",="(0.017)",="(0.35)",="(0.047)",="(0.030)"

="dummy_suc3",="0.027",="0.010",="0",="0.046",="0.12"
="",="(0.015)",="(0.0066)",="(0.000092)",="(0.019)",="(0.042)"

="dummy_suc4",="0.028",="0.015",="0",="0.23",="0.26"
="",="(0.015)",="(0.0067)",="(0.000085)",="(0.036)",="(0.029)"

="dummy_suc5",="0.053",="0.011",="0",="0.0030",="0.066"
="",="(0.013)",="(0.0064)",="(0.00011)",="(0.017)",="(0.053)"

="dummy_suc6",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="num_arms_d3",="-0.026",="-0.0083",="0",="0.0049",="0.021"
="",="(0.011)",="(0.0061)",="(0.098)",="(0.025)",="(0.025)"

="num_arms_d4",="-0.037",="-0.0032",="0",="0.0019",="-0.11"
="",="(0.022)",="(0.0096)",="(0.35)",="(0.013)",="(0.041)"

="num_arms_d5",="-0.085",="-0.016",="0",="-0.00028",="-0.14"
="",="(0.018)",="(0.026)",="(0.38)",="(0.026)",="(0.048)"

="num_arms_d6",="-0.075",="0.018",="0",="-0.00028",="-0.16"
="",="(0.034)",="(0.15)",="(0.34)",="(0.048)",="(0.046)"

="visit_number_d2",="0.0029",="-0.0046",="0",="-0.0049",="-0.021"
="",="(0.013)",="(0.0061)",="(0.000049)",="(0.020)",="(0.026)"

="visit_number_d3",="0.036",="0.00061",="0",="-0.0038",="0.022"
="",="(0.018)",="(0.0091)",="(0.000041)",="(0.021)",="(0.036)"

="visit_number_d4",="0.036",="-0.0021",="0",="-0.0083",="-0.097"
="",="(0.021)",="(0.0093)",="(0.073)",="(0.029)",="(0.048)"

="visit_number_d5",="0.050",="0.0031",="-0.19",="-0.19",="-0.057"
="",="(0.044)",="(0.014)",="(0.014)",="(0.042)",="(0.046)"

="visit_number_d6",="0.023",="0.00060",="0",="-0.0076",="0.12"
="",="(0.030)",="(0.044)",="(0.11)",="(0.044)",="(0.18)"

="visit_number_d7",="0.069",="-0.0077",="0",="-0.18",="-0.062"
="",="(0.049)",="(0.037)",="(0.084)",="(0.068)",="(0.065)"

="_cons",="1.17",="1.23",="1.43",="1.43",="1.59"
="",="(0.017)",="(0.0075)",="(0.38)",="(0.018)",="(0.050)"

="N",="4728",="4728",="4728",="4728",="4728"
="R-sq",="",="",="",="",=""
="Control Mean",="1.45",="1.45",="1.45",="1.45",="1.45"

="Standard errors in parentheses"
