
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="eff_cost_loan",="eff_cost_loan",="eff_cost_loan",="eff_cost_loan",="eff_cost_loan",="eff_cost_loan",="eff_cost_loan",="eff_cost_loan",="eff_cost_loan",="eff_cost_loan",="eff_cost_loan",="eff_cost_loan",="eff_cost_loan",="eff_cost_loan",="eff_cost_loan"

="pro_4",="-0.014",="",="",="-0.0090",="",="",="0",="",="",="-0.0026",="",="",="-0.0026",="",=""
="",="(0.0055)",="",="",="(0.0024)",="",="",="(0.13)",="",="",="(0.014)",="",="",="(0.0039)",="",=""

="dummy_dow1",="0.034",="0.018",="0.054",="0.0090",="0.0081",="0.013",="2.5e-16",="0",="0",="0.015",="0.039",="0.038",="0.0077",="0.015",="0.029"
="",="(0.012)",="(0.013)",="(0.022)",="(0.0035)",="(0.0040)",="(0.0071)",="(0.046)",="(0.15)",="(0.014)",="(0.029)",="(0.028)",="(0.038)",="(0.0072)",="(0.0078)",="(0.025)"

="dummy_dow2",="0.038",="0.016",="0.057",="0.0090",="0.0059",="0.016",="0",="0",="0",="0.0033",="0.00058",="0.038",="-0.0052",="-0.0063",="0.048"
="",="(0.012)",="(0.014)",="(0.022)",="(0.0032)",="(0.0035)",="(0.0067)",="(0.058)",="(0.14)",="(0.015)",="(0.018)",="(0.021)",="(0.036)",="(0.0082)",="(0.0096)",="(0.034)"

="dummy_dow3",="0.026",="0.012",="0.065",="0.0039",="0.0026",="0.011",="0",="0",="0",="0.0021",="0",="0.070",="-0.000018",="-0.00000036",="0.096"
="",="(0.012)",="(0.015)",="(0.022)",="(0.0041)",="(0.0043)",="(0.0073)",="(0.13)",="(0.22)",="(0.0046)",="(0.019)",="(0.022)",="(0.043)",="(0.011)",="(0.015)",="(0.035)"

="dummy_dow4",="0.044",="0.027",="0.068",="0.0097",="0.0074",="0.017",="0",="0",="0",="0.0045",="0.0037",="0.029",="-0.000049",="-0.000037",="0.015"
="",="(0.012)",="(0.013)",="(0.022)",="(0.0033)",="(0.0049)",="(0.0073)",="(0.32)",="(0.45)",="(0.0050)",="(0.021)",="(0.023)",="(0.041)",="(0.012)",="(0.014)",="(0.042)"

