
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="payment",="sum_porc_pay_fee_c",="sum_porc_int_c",="eff_cost_loan",="eff_tc",="eff_pospay",="eff_fee"

="pro_2",="0.11",="0.013",="-0.042",="0.087",="0.084",="0.13",="0.068"
="",="(0.026)",="(0.00041)",="(0.0078)",="(0.012)",="(0.016)",="(0.017)",="(0.015)"

="dummy_dow1",="-0.022",="-0.00038",="-0.0033",="0.0081",="0.016",="0.011",="0.011"
="",="(0.047)",="(0.00060)",="(0.014)",="(0.021)",="(0.029)",="(0.029)",="(0.023)"

="dummy_dow2",="0",="0.00022",="0.014",="0",="0",="0",="0"
="",="(.)",="(0.00074)",="(0.015)",="(.)",="(.)",="(.)",="(.)"

="dummy_dow3",="-0.088",="-0.00080",="0.0042",="-0.014",="0.017",="-0.018",="-0.021"
="",="(0.047)",="(0.00080)",="(0.014)",="(0.022)",="(0.029)",="(0.031)",="(0.025)"

="dummy_dow4",="-0.0024",="0.00019",="-0.013",="0.012",="0.014",="0.013",="0.018"
="",="(0.050)",="(0.00068)",="(0.013)",="(0.021)",="(0.029)",="(0.030)",="(0.024)"

="dummy_dow5",="-0.057",="-0.00079",="-0.0075",="0.0069",="0.022",="0.0090",="0.011"
="",="(0.052)",="(0.00064)",="(0.014)",="(0.021)",="(0.027)",="(0.029)",="(0.023)"

="dummy_dow6",="-0.020",="0",="0",="0.0084",="0.022",="0.010",="0.012"
="",="(0.052)",="(.)",="(.)",="(0.025)",="(0.032)",="(0.035)",="(0.028)"

="dummy_suc1",="0.11",="-0.0025",="-0.058",="0.078",="0.061",="0.11",="0.092"
="",="(0.052)",="(0.00070)",="(0.016)",="(0.025)",="(0.028)",="(0.033)",="(0.031)"

="dummy_suc2",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="dummy_suc3",="0.060",="-0.0017",="-0.056",="0.062",="0.051",="0.085",="0.075"
="",="(0.054)",="(0.00071)",="(0.012)",="(0.022)",="(0.032)",="(0.030)",="(0.025)"

="dummy_suc4",="-0.021",="-0.00097",="-0.013",="0.013",="-0.0074",="0.014",="0.012"
="",="(0.054)",="(0.00067)",="(0.014)",="(0.023)",="(0.031)",="(0.030)",="(0.025)"

="dummy_suc5",="-0.018",="-0.000097",="-0.035",="0.019",="0.014",="0.022",="0.029"
="",="(0.055)",="(0.00071)",="(0.012)",="(0.022)",="(0.029)",="(0.029)",="(0.024)"

="dummy_suc6",="-0.0086",="-0.0026",="-0.078",="0.080",="0.080",="0.12",="0.090"
="",="(0.057)",="(0.00074)",="(0.013)",="(0.023)",="(0.033)",="(0.033)",="(0.025)"

="num_arms_d3",="0.066",="0.00039",="0.0029",="0.014",="0.00058",="0.017",="0.012"
="",="(0.036)",="(0.00063)",="(0.0095)",="(0.016)",="(0.019)",="(0.022)",="(0.018)"

="num_arms_d4",="0.040",="0.00100",="-0.012",="0.034",="0.025",="0.042",="0.027"
="",="(0.048)",="(0.00082)",="(0.013)",="(0.022)",="(0.035)",="(0.031)",="(0.026)"

="num_arms_d5",="0.18",="0.0013",="-0.0058",="0.052",="0.081",="0.045",="0.026"
="",="(0.079)",="(0.00096)",="(0.016)",="(0.026)",="(0.041)",="(0.036)",="(0.030)"

="num_arms_d6",="-0.071",="-0.0019",="-0.025",="0.025",="0.089",="0.086",="0.018"
="",="(0.098)",="(0.0015)",="(0.023)",="(0.044)",="(0.045)",="(0.068)",="(0.059)"

="visit_number_d2",="-0.0052",="-0.00030",="-0.0052",="-0.00024",="0.0013",="0.0054",="0.0036"
="",="(0.038)",="(0.00071)",="(0.012)",="(0.018)",="(0.023)",="(0.026)",="(0.021)"

="visit_number_d3",="-0.041",="-0.0011",="0.0041",="-0.038",="-0.011",="-0.043",="-0.028"
="",="(0.065)",="(0.00077)",="(0.018)",="(0.027)",="(0.046)",="(0.040)",="(0.032)"

="visit_number_d4",="-0.078",="-0.0011",="-0.049",="0.017",="-0.033",="0.054",="0.043"
="",="(0.085)",="(0.0012)",="(0.017)",="(0.028)",="(0.043)",="(0.045)",="(0.033)"

="visit_number_d5",="0.16",="-0.0010",="-0.066",="0.074",="0.0019",="0.12",="0.10"
="",="(0.11)",="(0.0015)",="(0.018)",="(0.032)",="(0.065)",="(0.043)",="(0.038)"

="visit_number_d6",="0.00042",="-0.0048",="-0.020",="0.039",="-0.041",="0.083",="0.063"
="",="(0.13)",="(0.0015)",="(0.056)",="(0.084)",="(0.15)",="(0.12)",="(0.11)"

="visit_number_d7",="0.031",="-0.0028",="-0.066",="0.057",="0.029",="0.12",="0.094"
="",="(0.12)",="(0.0018)",="(0.022)",="(0.043)",="(0.060)",="(0.060)",="(0.052)"

="_cons",="0.50",="0.0015",="0.17",="-1.50",="-1.58",="-1.53",="-1.51"
="",="(0.061)",="(0.00078)",="(0.015)",="(0.026)",="(0.037)",="(0.035)",="(0.028)"

="N",="5050",="5085",="5085",="5050",="2699",="3467",="4026"
="R-sq",="0.023",="0.289",="0.041",="0.043",="0.032",="0.064",="0.034"
="Control Mean",="0.52",="0",="0.12",="-1.45",="-1.52",="-1.46",="-1.45"

="Standard errors in parentheses"
