
="",="(1)",="(2)",="(3)"
="",="eff_cost_loan",="eff_tc",="eff_pospay"

="pro_3",="0.011",="-0.012",="0.015"
="",="(0.012)",="(0.021)",="(0.018)"

="dummy_dow1",="-0.0081",="0.016",="-0.013"
="",="(0.024)",="(0.035)",="(0.035)"

="dummy_dow2",="-0.032",="0",="-0.051"
="",="(0.026)",="(.)",="(0.037)"

="dummy_dow3",="-0.0042",="0.047",="-0.0086"
="",="(0.023)",="(0.037)",="(0.033)"

="dummy_dow4",="-0.0087",="0.017",="-0.017"
="",="(0.020)",="(0.035)",="(0.031)"

="dummy_dow5",="-0.0032",="0.035",="-0.011"
="",="(0.020)",="(0.035)",="(0.030)"

="dummy_dow6",="0",="0.060",="0"
="",="(.)",="(0.041)",="(.)"

="dummy_suc1",="0.094",="-0.0059",="-0.085"
="",="(0.022)",="(0.038)",="(0.025)"

="dummy_suc2",="0",="-0.12",="-0.21"
="",="(.)",="(0.042)",="(0.029)"

="dummy_suc3",="0.097",="-0.0042",="-0.087"
="",="(0.023)",="(0.040)",="(0.026)"

="dummy_suc4",="0.063",="-0.033",="-0.14"
="",="(0.025)",="(0.038)",="(0.027)"

="dummy_suc5",="0.10",="0",="-0.079"
="",="(0.024)",="(.)",="(0.027)"

="dummy_suc6",="0.15",="0.048",="0"
="",="(0.022)",="(0.037)",="(.)"

="num_arms_d3",="0.0061",="0.0091",="0.013"
="",="(0.020)",="(0.028)",="(0.028)"

="num_arms_d4",="0.034",="0.056",="0.056"
="",="(0.022)",="(0.033)",="(0.033)"

="num_arms_d5",="0.051",="0.072",="0.068"
="",="(0.030)",="(0.049)",="(0.043)"

="num_arms_d6",="0.0075",="0.066",="0.015"
="",="(0.058)",="(0.064)",="(0.11)"

="visit_number_d2",="0.027",="0.0044",="0.038"
="",="(0.021)",="(0.030)",="(0.029)"

="visit_number_d3",="-0.010",="-0.073",="-0.015"
="",="(0.030)",="(0.053)",="(0.044)"

="visit_number_d4",="0.058",="0.034",="0.11"
="",="(0.029)",="(0.041)",="(0.040)"

="visit_number_d5",="0.068",="-0.024",="0.087"
="",="(0.041)",="(0.072)",="(0.054)"

="visit_number_d6",="-0.0046",="-0.018",="-0.012"
="",="(0.064)",="(0.12)",="(0.099)"

="visit_number_d7",="0.048",="-0.0062",="0.067"
="",="(0.047)",="(0.067)",="(0.068)"

="_cons",="-1.55",="-1.55",="-1.37"
="",="(0.027)",="(0.037)",="(0.035)"

="N",="4727",="2398",="3208"
="R-sq",="0.037",="0.034",="0.052"
="Control Mean",="-1.45",="-1.52",="-1.46"

="Standard errors in parentheses"
