
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="eff_cost_loan",="eff_cost_loan",="eff_cost_loan",="eff_tc",="eff_tc",="eff_tc",="eff_pospay",="eff_pospay",="eff_pospay"

="pro_5",="0.0085",="",="",="0.00083",="",="",="0.0094",="",=""
="",="(0.011)",="",="",="(0.015)",="",="",="(0.016)",="",=""

="dummy_dow1",="-0.0020",="0.027",="0.035",="0.034",="0.015",="-0.022",="-0.0034",="0.038",="0.018"
="",="(0.020)",="(0.022)",="(0.026)",="(0.029)",="(0.028)",="(0.037)",="(0.029)",="(0.032)",="(0.033)"

="dummy_dow2",="-0.023",="0.0099",="0.025",="0.031",="0.011",="0",="-0.037",="0.012",="0"
="",="(0.022)",="(0.021)",="(0.027)",="(0.030)",="(0.029)",="(.)",="(0.032)",="(0.031)",="(.)"

="dummy_dow3",="-0.035",="0",="0",="0",="0",="-0.055",="-0.050",="0",="-0.033"
="",="(0.023)",="(.)",="(.)",="(.)",="(.)",="(0.038)",="(0.032)",="(.)",="(0.037)"

="dummy_dow4",="-0.023",="0.0060",="0.024",="0.029",="0.0081",="-0.011",="-0.036",="0.0062",="-0.00061"
="",="(0.019)",="(0.021)",="(0.025)",="(0.027)",="(0.025)",="(0.035)",="(0.027)",="(0.030)",="(0.032)"

="dummy_dow5",="-0.0064",="0.021",="0.044",="0.063",="0.052",="0.018",="-0.011",="0.029",="0.026"
="",="(0.016)",="(0.018)",="(0.024)",="(0.026)",="(0.025)",="(0.033)",="(0.023)",="(0.026)",="(0.028)"

="dummy_dow6",="0",="0.026",="0.061",="0.066",="0.051",="0.038",="0",="0.038",="0.050"
="",="(.)",="(0.024)",="(0.030)",="(0.026)",="(0.024)",="(0.033)",="(.)",="(0.033)",="(0.036)"

="dummy_suc1",="0",="0.090",="0.066",="0.096",="0.13",="0.077",="0.093",="0",="0.087"
="",="(.)",="(0.026)",="(0.029)",="(0.021)",="(0.025)",="(0.030)",="(0.032)",="(.)",="(0.038)"

="dummy_suc2",="-0.068",="0",="0",="0",="0",="0",="0",="-0.12",="0"
="",="(0.025)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(0.035)",="(.)"

="dummy_suc3",="0.027",="0.11",="0.093",="0.12",="0.17",="0.088",="0.13",="0.022",="0.12"
="",="(0.024)",="(0.023)",="(0.022)",="(0.028)",="(0.034)",="(0.038)",="(0.027)",="(0.036)",="(0.031)"

="dummy_suc4",="-0.018",="0.067",="0.028",="0.084",="0.11",="0.044",="0.061",="-0.040",="0.030"
="",="(0.024)",="(0.022)",="(0.024)",="(0.022)",="(0.031)",="(0.033)",="(0.026)",="(0.033)",="(0.033)"

="dummy_suc5",="0.027",="0.11",="0.080",="0.15",="0.17",="0.11",="0.13",="0.016",="0.099"
="",="(0.023)",="(0.019)",="(0.022)",="(0.018)",="(0.027)",="(0.035)",="(0.024)",="(0.031)",="(0.031)"

="dummy_suc6",="0.080",="0.15",="0.14",="0.19",="0.20",="0.16",="0.21",="0.085",="0.20"
="",="(0.024)",="(0.020)",="(0.023)",="(0.023)",="(0.030)",="(0.033)",="(0.026)",="(0.033)",="(0.033)"

="num_arms_d3",="0.023",="0.017",="0.023",="0.014",="0.0067",="0.015",="0.037",="0.029",="0.035"
="",="(0.015)",="(0.017)",="(0.020)",="(0.020)",="(0.022)",="(0.026)",="(0.021)",="(0.024)",="(0.029)"

="num_arms_d4",="0.041",="0.043",="0.059",="0.027",="0.046",="0.052",="0.066",="0.070",="0.092"
="",="(0.019)",="(0.020)",="(0.023)",="(0.028)",="(0.030)",="(0.036)",="(0.027)",="(0.030)",="(0.033)"

="num_arms_d5",="0.069",="0.060",="0.078",="0.027",="0.028",="0.060",="0.096",="0.082",="0.11"
="",="(0.028)",="(0.026)",="(0.038)",="(0.047)",="(0.041)",="(0.062)",="(0.040)",="(0.038)",="(0.053)"

="num_arms_d6",="0.045",="0.045",="0.029",="0.078",="0.052",="0.14",="0.083",="0.11",="0.038"
="",="(0.044)",="(0.046)",="(0.064)",="(0.051)",="(0.055)",="(0.061)",="(0.086)",="(0.091)",="(0.12)"

="visit_number_d2",="0.025",="0.033",="0.013",="0.028",="0.029",="0.0072",="0.032",="0.043",="0.014"
="",="(0.017)",="(0.018)",="(0.021)",="(0.022)",="(0.024)",="(0.028)",="(0.024)",="(0.026)",="(0.031)"

="visit_number_d3",="-0.021",="-0.027",="-0.048",="-0.018",="-0.030",="-0.055",="-0.034",="-0.049",="-0.065"
="",="(0.025)",="(0.027)",="(0.031)",="(0.040)",="(0.042)",="(0.054)",="(0.039)",="(0.041)",="(0.047)"

="visit_number_d4",="0.037",="0.039",="0.070",="0.049",="0.043",="0.044",="0.058",="0.058",="0.13"
="",="(0.029)",="(0.030)",="(0.031)",="(0.037)",="(0.037)",="(0.041)",="(0.045)",="(0.045)",="(0.040)"

="visit_number_d5",="0.060",="0.055",="0.079",="0.030",="0.0077",="0.014",="0.098",="0.089",="0.11"
="",="(0.036)",="(0.038)",="(0.044)",="(0.063)",="(0.069)",="(0.079)",="(0.050)",="(0.054)",="(0.056)"

="visit_number_d6",="0.00053",="-0.013",="0.019",="-0.020",="-0.021",="-0.093",="-0.0010",="-0.020",="0.0088"
="",="(0.060)",="(0.065)",="(0.10)",="(0.099)",="(0.11)",="(0.16)",="(0.091)",="(0.100)",="(0.13)"

