
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="fc_all_fee",="fc_all_fee",="fc_all_fee",="fc_all_fee",="fc_all_fee"

="pro_2",="-30.6",="-85.7**",="-219.1***",="-247.6*",="-197.4"
="",="(30.3)",="(38.5)",="(68.1)",="(126.4)",="(160.6)"

="dummy_dow1",="-86.7*",="-72.0",="-15.8",="135.6",="351.3"
="",="(49.8)",="(70.4)",="(115.1)",="(224.8)",="(233.3)"

="dummy_dow2",="-31.6",="-1.52",="305.5**",="621.2**",="1342.9***"
="",="(47.7)",="(81.8)",="(125.7)",="(250.4)",="(311.3)"

="dummy_dow3",="-62.1",="-44.4",="-15.6",="127.3",="558.0**"
="",="(49.4)",="(65.1)",="(120.9)",="(231.4)",="(263.1)"

="dummy_dow4",="-11.2",="14.7",="114.3",="-129.5",="-71.5"
="",="(51.1)",="(69.9)",="(108.3)",="(191.1)",="(288.9)"

="dummy_dow5",="-11.2",="-1.52",="219.0*",="431.5*",="664.4**"
="",="(46.1)",="(65.8)",="(124.9)",="(221.9)",="(285.9)"

="dummy_dow6",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="dummy_suc1",="50.9",="15.5",="121.1",="124.2",="67.3"
="",="(61.7)",="(85.6)",="(142.9)",="(265.0)",="(365.9)"

="dummy_suc2",="0.24",="106.1",="167.9",="722.8**",="951.0**"
="",="(80.7)",="(91.6)",="(158.0)",="(322.1)",="(420.1)"

="dummy_suc3",="-61.3",="-77.6",="-206.6",="-421.0*",="-607.1**"
="",="(41.5)",="(83.5)",="(131.5)",="(252.2)",="(287.8)"

="dummy_suc4",="-10.9",="-41.5",="-85.8",="-314.7",="-279.6"
="",="(44.0)",="(83.8)",="(113.6)",="(234.7)",="(285.8)"

="dummy_suc5",="38.8",="91.4",="52.4",="-80.3",="-163.7"
="",="(46.7)",="(84.0)",="(118.2)",="(233.6)",="(327.4)"

="dummy_suc6",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="num_arms_d3",="36.8",="0.27",="-8.68",="-268.2",="-347.3"
="",="(45.0)",="(56.8)",="(96.2)",="(166.3)",="(240.5)"

="num_arms_d4",="162.9**",="74.8",="307.8*",="794.0***",="882.6**"
="",="(71.7)",="(90.8)",="(167.6)",="(281.6)",="(413.3)"

="num_arms_d5",="132.5*",="85.3",="190.1",="347.3",="260.9"
="",="(76.2)",="(118.1)",="(173.2)",="(281.5)",="(534.2)"

="num_arms_d6",="375.4***",="271.9***",="677.7",="1215.5***",="1328.0**"
="",="(110.1)",="(84.1)",="(484.7)",="(444.3)",="(560.4)"

="visit_number_d2",="65.9",="28.7",="-167.8",="-209.9",="-372.9"
="",="(56.9)",="(55.4)",="(112.5)",="(183.9)",="(303.4)"

="visit_number_d3",="24.7",="80.7",="56.5",="631.1",="986.6*"
="",="(87.6)",="(140.0)",="(180.2)",="(462.8)",="(503.5)"

="visit_number_d4",="-191.6*",="-47.4",="-592.5***",="-653.3**",="-1361.7**"
="",="(113.1)",="(130.3)",="(176.5)",="(260.6)",="(544.3)"

="visit_number_d5",="-368.8***",="-358.9**",="-526.8*",="-1143.1***",="-1551.2***"
="",="(79.3)",="(174.1)",="(306.4)",="(420.3)",="(515.4)"

="visit_number_d6",="-331.7***",="-396.8",="-727.6***",="-2020.1***",="-3164.3***"
="",="(95.9)",="(266.5)",="(236.3)",="(348.7)",="(505.6)"

="visit_number_d7",="-410.0***",="-307.9",="-515.8",="-1394.1***",="-2361.3***"
="",="(80.8)",="(215.7)",="(434.6)",="(341.9)",="(518.7)"

="_cons",="839.8***",="1179.1***",="2151.5***",="3847.2***",="4892.8***"
="",="(45.9)",="(90.2)",="(133.6)",="(272.8)",="(321.8)"

="N",="5034",="5034",="5034",="5034",="5034"
="R-sq",="",="",="",="",=""
="Control Mean",="3161.4",="3161.4",="3161.4",="3161.4",="3161.4"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
