
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="fc_admin_disc",="fc_admin_disc",="fc_admin_disc",="fc_admin_disc",="fc_admin_disc"

="pro_2",="-40.8",="-104.2",="-262.5",="-295.5",="-315.5"
="",="(29.3)",="(37.8)",="(67.1)",="(128.5)",="(168.3)"

="dummy_dow1",="-85.1",="-77.8",="-10.3",="111.8",="333.4"
="",="(47.8)",="(67.7)",="(112.3)",="(220.2)",="(263.9)"

="dummy_dow2",="-33.2",="-14.3",="299.2",="631.2",="1313.3"
="",="(41.9)",="(79.2)",="(123.2)",="(254.3)",="(312.2)"

="dummy_dow3",="-62.1",="-54.8",="-0.86",="103.5",="570.7"
="",="(46.0)",="(62.6)",="(119.4)",="(229.1)",="(279.3)"

="dummy_dow4",="-7.62",="8.45",="123.1",="-111.1",="-8.55"
="",="(48.8)",="(67.8)",="(104.7)",="(195.8)",="(318.1)"

="dummy_dow5",="-7.12",="-11.9",="199.7",="438.1",="671.4"
="",="(39.9)",="(65.6)",="(123.2)",="(224.5)",="(302.5)"

="dummy_dow6",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="dummy_suc1",="54.5",="7.68",="126.3",="113.9",="57.0"
="",="(59.2)",="(85.6)",="(141.4)",="(253.4)",="(352.6)"

="dummy_suc2",="3.82",="95.8",="161.7",="721.1",="916.9"
="",="(79.0)",="(90.7)",="(156.9)",="(313.9)",="(438.1)"

="dummy_suc3",="-59.7",="-82.2",="-190.0",="-454.5",="-606.2"
="",="(36.4)",="(83.0)",="(132.1)",="(237.7)",="(277.1)"

="dummy_suc4",="-11.3",="-45.6",="-94.7",="-328.7",="-305.3"
="",="(42.0)",="(84.1)",="(113.0)",="(224.0)",="(279.6)"

="dummy_suc5",="42.4",="78.0",="47.7",="-107.5",="-137.3"
="",="(44.7)",="(83.4)",="(119.7)",="(212.6)",="(314.2)"

="dummy_suc6",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="num_arms_d3",="33.2",="11.2",="-23.9",="-242.1",="-314.0"
="",="(42.8)",="(54.6)",="(94.6)",="(177.2)",="(244.3)"

="num_arms_d4",="153.0",="84.1",="279.5",="798.0",="825.2"
="",="(70.0)",="(87.2)",="(160.6)",="(280.2)",="(387.1)"

="num_arms_d5",="129.5",="85.3",="168.1",="371.2",="325.7"
="",="(73.3)",="(116.9)",="(159.3)",="(290.0)",="(525.8)"

="num_arms_d6",="367.5",="275.5",="676.5",="1188.9",="1324.4"
="",="(100.0)",="(93.6)",="(446.9)",="(468.7)",="(599.5)"

="visit_number_d2",="67.9",="13.2",="-155.1",="-226.4",="-435.3"
="",="(53.3)",="(53.7)",="(111.3)",="(191.0)",="(306.0)"

="visit_number_d3",="25.0",="80.2",="89.4",="586.7",="968.3"
="",="(80.9)",="(138.0)",="(162.6)",="(522.5)",="(506.9)"

="visit_number_d4",="-191.4",="-57.1",="-555.7",="-670.4",="-1318.9"
="",="(113.1)",="(130.1)",="(169.6)",="(265.9)",="(516.5)"

="visit_number_d5",="-356.9",="-379.8",="-536.3",="-1172.1",="-1585.5"
="",="(75.7)",="(171.7)",="(287.3)",="(442.0)",="(476.3)"

="visit_number_d6",="-324.4",="-402.2",="-742.6",="-2064.5",="-3162.1"
="",="(122.1)",="(261.5)",="(166.1)",="(297.6)",="(465.8)"

="visit_number_d7",="-406.5",="-303.5",="-497.0",="-1406.9",="-2352.7"
="",="(81.2)",="(225.9)",="(416.3)",="(365.8)",="(553.8)"

="_cons",="836.2",="1194.1",="2158.0",="3861.1",="4921.5"
="",="(44.3)",="(89.6)",="(131.6)",="(260.2)",="(323.9)"

="N",="5033",="5033",="5033",="5033",="5033"
="R-sq",="",="",="",="",=""
="Control Mean",="3159.4",="3159.4",="3159.4",="3159.4",="3159.4"

="Standard errors in parentheses"
