
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="fc_admin_disc",="fc_admin_disc",="fc_admin_disc",="fc_admin_disc",="fc_admin_disc",="fc_admin_disc",="fc_admin_disc",="fc_admin_disc",="fc_admin_disc",="fc_admin_disc",="fc_admin_disc",="fc_admin_disc",="fc_admin_disc",="fc_admin_disc",="fc_admin_disc"

="pro_4",="28.1",="",="",="61.8",="",="",="-40.8",="",="",="-72.7",="",="",="-55.9",="",=""
="",="(32.2)",="",="",="(37.6)",="",="",="(63.1)",="",="",="(106.7)",="",="",="(160.4)",="",=""

="dummy_dow1",="-10.5",="-30.8",="-3.93",="-11.7",="-40.4",="93.8",="-34.5",="-15.0",="91.1",="1.54",="-2.51",="131.4",="230.2",="214.1",="540.1"
="",="(52.9)",="(54.7)",="(75.4)",="(66.7)",="(69.0)",="(87.7)",="(101.7)",="(109.1)",="(162.1)",="(167.0)",="(162.6)",="(202.8)",="(253.1)",="(270.1)",="(433.1)"

="dummy_dow2",="-63.4",="-98.4*",="21.0",="-80.4",="-120.3*",="140.9",="-53.8",="-66.4",="346.2**",="-48.5",="-6.00",="553.2**",="375.3",="486.2*",="833.4**"
="",="(48.7)",="(51.3)",="(77.4)",="(66.6)",="(70.2)",="(97.1)",="(95.8)",="(92.7)",="(171.1)",="(177.6)",="(192.2)",="(241.0)",="(250.2)",="(268.3)",="(395.0)"

="dummy_dow3",="-113.7**",="-137.6**",="-68.0",="-165.9**",="-176.2**",="52.4",="-373.3***",="-366.4***",="-149.6",="-292.7",="-252.3",="-340.3*",="-114.7",="107.5",="-203.9"
="",="(57.5)",="(61.0)",="(69.3)",="(72.8)",="(75.3)",="(86.7)",="(87.7)",="(97.0)",="(139.1)",="(184.4)",="(202.9)",="(186.7)",="(314.8)",="(373.6)",="(362.9)"

="dummy_dow4",="134.3**",="100.4",="193.2**",="167.4**",="134.9*",="311.4***",="137.6",="110.6",="262.9*",="51.0",="54.4",="-229.2*",="466.5",="375.2",="-135.7"
="",="(62.6)",="(65.2)",="(77.0)",="(73.6)",="(75.8)",="(91.7)",="(109.9)",="(109.1)",="(157.6)",="(167.1)",="(180.0)",="(130.8)",="(319.6)",="(328.4)",="(397.1)"

="dummy_dow5",="23.9",="7.37",="49.5",="35.5",="16.3",="174.8*",="74.5",="76.1",="389.9**",="269.4*",="308.3*",="247.0",="592.1**",="605.2**",="410.9"
="",="(55.8)",="(60.2)",="(64.6)",="(71.2)",="(71.6)",="(89.2)",="(94.1)",="(98.6)",="(155.0)",="(163.4)",="(168.6)",="(.)",="(264.1)",="(278.2)",="(417.3)"

="dummy_dow6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="dummy_suc1",="191.6***",="177.6***",="42.5",="213.7***",="166.4**",="23.2",="361.5***",="329.2**",="87.3",="679.3***",="540.3**",="362.5*",="724.9*",="515.4",="450.4"
="",="(56.8)",="(64.2)",="(80.7)",="(71.3)",="(84.8)",="(80.1)",="(126.8)",="(142.6)",="(162.8)",="(236.3)",="(254.6)",="(189.8)",="(373.0)",="(420.7)",="(455.6)"

="dummy_suc2",="91.2",="48.8",="114.7",="172.8**",="74.0",="228.5**",="301.5**",="196.3",="477.3**",="713.3***",="516.0*",="1066.4***",="1278.7***",="923.4**",="1889.9***"
="",="(58.5)",="(63.9)",="(99.4)",="(84.8)",="(99.1)",="(98.2)",="(138.7)",="(152.9)",="(228.5)",="(253.9)",="(287.1)",="(379.1)",="(410.0)",="(442.7)",="(468.7)"

="dummy_suc3",="149.8***",="135.5**",="13.5",="151.1**",="122.0*",="37.8",="131.8",="67.2",="-64.3",="44.9",="-80.5",="-23.8",="-195.8",="-632.2*",="-341.2"
="",="(54.5)",="(61.4)",="(60.0)",="(61.7)",="(70.8)",="(80.4)",="(112.1)",="(126.4)",="(139.6)",="(209.2)",="(240.9)",="(159.8)",="(289.1)",="(331.8)",="(352.2)"

="dummy_suc4",="80.7*",="49.0",="58.3",="82.4",="14.8",="9.19",="65.1",="-36.9",="-26.3",="-128.5",="-356.7",="-442.8",="-474.9*",="-953.2***",="-808.2***"
="",="(46.1)",="(52.5)",="(62.6)",="(62.2)",="(69.4)",="(83.4)",="(98.6)",="(118.0)",="(131.8)",="(199.8)",="(226.3)",="(.)",="(270.6)",="(334.7)",="(298.7)"

="dummy_suc5",="150.0***",="117.1*",="101.4",="190.7***",="143.4**",="131.9",="128.2",="67.8",="105.8",="58.1",="-126.7",="-48.4",="-129.3",="-529.2",="-370.2"
="",="(52.9)",="(59.8)",="(64.0)",="(64.5)",="(70.8)",="(83.2)",="(114.7)",="(131.8)",="(138.9)",="(209.6)",="(230.4)",="(163.4)",="(324.0)",="(367.4)",="(371.8)"

="dummy_suc6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="num_arms_d3",="-17.6",="-48.8",="-2.13",="-9.51",="-33.9",="100.4",="-14.2",="-18.2",="66.7",="-162.1",="-146.5",="-35.1",="174.2",="169.5",="192.3"
="",="(46.6)",="(48.5)",="(73.9)",="(53.0)",="(56.9)",="(69.7)",="(89.4)",="(89.2)",="(129.6)",="(150.3)",="(159.2)",="(186.2)",="(237.3)",="(234.3)",="(368.0)"

="num_arms_d4",="37.6",="-0.36",="109.2",="76.9",="30.4",="167.4*",="166.2",="142.9",="417.7**",="582.3**",="560.4**",="761.7**",="871.4***",="1020.5***",="970.7**"
="",="(66.4)",="(66.8)",="(83.2)",="(77.0)",="(76.2)",="(100.7)",="(141.7)",="(150.0)",="(200.6)",="(234.0)",="(256.3)",="(306.2)",="(329.4)",="(375.4)",="(406.5)"

="num_arms_d5",="49.1",="9.15",="87.3",="-5.23",="-29.4",="154.2",="50.2",="142.2",="199.9",="460.8",="653.7*",="440.2**",="822.0*",="987.9**",="658.7**"
="",="(69.3)",="(67.6)",="(92.2)",="(98.2)",="(99.3)",="(134.8)",="(131.3)",="(140.0)",="(206.5)",="(344.2)",="(378.8)",="(213.9)",="(462.3)",="(418.2)",="(324.4)"

="num_arms_d6",="592.2***",="587.0***",="358.3***",="737.6**",="730.2***",="300.2",="1099.0***",="1263.1**",="1135.3",="1369.0***",="1351.2***",="1682.3",="1594.0***",="1838.4***",="2379.8***"
="",="(143.7)",="(151.2)",="(113.8)",="(288.9)",="(274.4)",="(199.8)",="(414.3)",="(511.1)",="(773.4)",="(287.7)",="(275.5)",="(.)",="(401.2)",="(481.6)",="(840.3)"

="visit_number_d2",="41.6",="71.2",="71.3",="5.86",="33.9",="-82.3",="-187.8*",="-140.4",="-396.9***",="-397.4***",="-382.2**",="-599.7***",="-740.6**",="-795.7***",="-1085.4**"
="",="(57.7)",="(60.1)",="(79.3)",="(51.1)",="(53.7)",="(69.8)",="(103.5)",="(103.6)",="(141.3)",="(145.0)",="(151.7)",="(189.3)",="(293.3)",="(302.6)",="(423.6)"

="visit_number_d3",="70.2",="86.5",="205.2",="34.2",="53.9",="128.2",="-22.4",="-15.7",="87.5",="63.6",="71.6",="1136.5**",="896.1**",="879.0*",="1446.9**"
="",="(105.1)",="(115.3)",="(126.8)",="(85.8)",="(92.3)",="(118.6)",="(177.0)",="(173.7)",="(249.1)",="(405.5)",="(498.3)",="(547.3)",="(435.6)",="(471.1)",="(630.9)"

="visit_number_d4",="-151.2*",="-149.6*",="-124.6",="-182.3",="-178.9",="-115.5",="-544.7***",="-559.5***",="-718.1***",="-928.9***",="-860.8***",="-1090.2***",="-1688.6***",="-1726.6***",="-2043.6***"
="",="(81.5)",="(90.6)",="(158.7)",="(135.4)",="(128.8)",="(184.3)",="(100.2)",="(121.2)",="(189.3)",="(256.6)",="(250.7)",="(359.8)",="(355.3)",="(300.0)",="(368.2)"

="visit_number_d5",="-183.1**",="-185.7**",="-311.4***",="-157.9",="-152.3",="-458.1*",="-197.8",="-313.1*",="-439.2*",="-1075.7***",="-871.9*",="-1211.5***",="-1397.4***",="-1532.8***",="-1828.5***"
="",="(77.0)",="(92.2)",="(82.7)",="(249.1)",="(227.0)",="(247.1)",="(157.9)",="(176.9)",="(245.2)",="(383.4)",="(481.3)",="(354.6)",="(334.5)",="(361.5)",="(642.1)"

="visit_number_d6",="-501.2***",="-362.5***",="-316.6***",="-396.6",="-337.9",="-339.1",="-557.8*",="-618.7***",="-731.1*",="-1260.5***",="-1191.9**",="-1870.3***",="-1918.7***",="-2050.6***",="-2674.9***"
="",="(126.7)",="(112.1)",="(110.6)",="(341.8)",="(213.0)",="(212.8)",="(320.8)",="(122.0)",="(399.1)",="(406.0)",="(588.9)",="(320.0)",="(393.1)",="(370.6)",="(395.5)"

="visit_number_d7",="-336.3*",="-302.7",="-473.7***",="-11.5",="-23.4",="-714.8*",="-141.4",="-235.4",="-334.1",="-443.5",="-533.4",="-1462.0",="-1113.4**",="-1622.8***",="-2550.7***"
="",="(189.2)",="(224.0)",="(95.6)",="(313.3)",="(305.3)",="(389.5)",="(528.0)",="(512.4)",="(337.1)",="(432.5)",="(428.7)",="(.)",="(549.1)",="(592.0)",="(531.3)"

="pro_6",="",="50.2",="",="",="86.1**",="",="",="23.6",="",="",="19.0",="",="",="187.2",=""
="",="",="(34.2)",="",="",="(39.5)",="",="",="(64.4)",="",="",="(110.5)",="",="",="(164.7)",=""

="pro_7",="",="",="-138.6**",="",="",="-203.5***",="",="",="-513.5***",="",="",="-1215.2***",="",="",="-1736.1***"
="",="",="",="(60.1)",="",="",="(58.0)",="",="",="(134.5)",="",="",="(123.4)",="",="",="(294.0)"

="_cons",="728.6***",="778.3***",="736.2***",="1035.2***",="1111.4***",="959.1***",="2120.4***",="2179.7***",="2020.9***",="3747.5***",="3886.5***",="3890.6***",="4959.4***",="5237.5***",="5146.2***"
="",="(56.6)",="(62.0)",="(74.1)",="(78.2)",="(84.1)",="(100.4)",="(117.1)",="(130.9)",="(159.0)",="(222.5)",="(240.4)",="(1.1e-11)",="(322.3)",="(384.3)",="(422.2)"

="N",="5978",="5633",="2912",="5978",="5633",="2912",="5978",="5633",="2912",="5978",="5633",="2912",="5978",="5633",="2912"
="R-sq",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Control Mean",="3161.4",="3161.4",="3161.4",="3161.4",="3161.4",="3161.4",="3161.4",="3161.4",="3161.4",="3161.4",="3161.4",="3161.4",="3161.4",="3161.4",="3161.4"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
