
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="fc_admin",="fc_survey",="fc_tc",="fc_int",="fc_fa",="apr",="apr_survey",="apr_tc",="apr_int",="apr_fa"

="2.t_producto",="-204.0***",="-299.9***",="-207.7***",="-98.5***",="-146.3**",="-0.11***",="-0.22***",="-0.13***",="-0.062***",="-0.097**"
="",="(48.1)",="(83.3)",="(49.0)",="(36.7)",="(72.8)",="(0.019)",="(0.051)",="(0.028)",="(0.019)",="(0.044)"

="4.t_producto",="-38.9",="-56.4",="-32.6",="-30.7",="-25.3",="-0.0086",="-0.053",="-0.0035",="-0.031*",="-0.043"
="",="(49.8)",="(83.5)",="(50.9)",="(39.2)",="(74.4)",="(0.019)",="(0.045)",="(0.028)",="(0.018)",="(0.040)"

="N",="6304",="6304",="6304",="6304",="6304",="6304",="6304",="6304",="6304",="6304"
="R-sq",="0.013",="0.009",="0.014",="0.005",="0.006",="0.031",="0.011",="0.027",="0.008",="0.007"
="Control Mean",="942.4",="1389.9",="1026.1",="480.7",="927.7",="0.57",="1.12",="0.72",="0.31",="0.84"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
