
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="fc_admin",="fc_survey",="fc_tc",="fc_s_tc",="fc_fa",="apr",="apr_survey",="apr_tc",="apr_s_tc",="apr_fa"

="3.t_producto",="-109.9",="-209.2",="-104.6",="-200.8",="-176.5",="-5.13",="-3.94",="-3.55",="-0.18",="0.18"
="",="(139.0)",="(191.3)",="(139.7)",="(191.8)",="(170.5)",="(6.35)",="(20.2)",="(7.00)",="(20.4)",="(19.8)"

="5.t_producto",="-194.0",="-218.4",="-194.1",="-218.1",="-167.7",="-3.99",="-5.13",="-3.01",="-2.91",="1.20"
="",="(128.8)",="(168.3)",="(129.5)",="(168.7)",="(146.7)",="(6.09)",="(18.6)",="(6.49)",="(18.6)",="(18.7)"

="N",="7525",="6377",="7525",="6377",="6377",="7525",="6377",="7525",="6377",="6377"
="R-sq",="0.014",="0.013",="0.014",="0.013",="0.012",="0.032",="0.019",="0.031",="0.019",="0.019"
="Control Mean",="3271.8",="3575.1",="3344.1",="3649.7",="3168.2",="249.0",="344.0",="283.4",="379.2",="270.6"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
