
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="payment",="sum_pay_fee_c",="sum_int_c",="cost_losing_pawn",="fc_admin_disc",="fc_survey_disc",="fc_trans_disc",="fc_survey_pospay",="fc_survey_fee"

="pro_2",="251.8",="28.8",="-104.8",="-469.2",="-297.3",="-472.2",="-379.2",="-603.6",="-504.0"
="",="(59.9)",="(1.10)",="(24.0)",="(97.7)",="(120.2)",="(182.4)",="(232.2)",="(207.3)",="(188.7)"

="dummy_dow1",="97.9",="-3.63",="-96.7",="-148.5",="151.0",="-254.8",="-389.2",="-607.9",="-783.8"
="",="(96.4)",="(2.03)",="(44.0)",="(169.6)",="(203.8)",="(285.6)",="(367.1)",="(359.2)",="(407.1)"

="dummy_dow2",="185.5",="0",="0",="0",="506.4",="418.8",="40.6",="0",="0"
="",="(147.1)",="(.)",="(.)",="(.)",="(244.4)",="(406.6)",="(527.2)",="(.)",="(.)"

="dummy_dow3",="-62.9",="-3.84",="-66.7",="-79.3",="33.2",="27.5",="-288.5",="-428.6",="-596.1"
="",="(103.3)",="(2.46)",="(46.6)",="(152.2)",="(197.7)",="(323.1)",="(417.1)",="(369.1)",="(421.2)"

="dummy_dow4",="90.0",="-5.11",="-140.0",="-159.2",="54.7",="-78.1",="-628.4",="-723.3",="-655.0"
="",="(104.3)",="(1.87)",="(41.6)",="(180.7)",="(198.3)",="(325.2)",="(401.7)",="(358.7)",="(422.9)"

="dummy_dow5",="44.6",="-6.16",="-64.8",="-26.5",="284.3",="108.4",="-184.7",="-103.9",="-261.0"
="",="(99.6)",="(1.87)",="(49.0)",="(182.5)",="(223.5)",="(353.5)",="(437.9)",="(399.1)",="(432.8)"

="dummy_dow6",="0",="-3.35",="-76.7",="-255.7",="0",="0",="0",="-503.7",="-507.7"
="",="(.)",="(1.94)",="(46.8)",="(185.0)",="(.)",="(.)",="(.)",="(399.1)",="(448.4)"

="dummy_suc1",="174.4",="-6.31",="-110.0",="-403.9",="-280.3",="-532.7",="50.2",="-469.9",="404.9"
