
="",="(1)",="(2)",="(3)",="(4)"
="",="fc_admin_disc",="fc_survey_disc",="fc_trans_disc",="fc_survey_pospay"

="pro_3",="-101.8",="-186.4",="-333.9",="-198.4"
="",="(135.2)",="(211.9)",="(265.7)",="(242.0)"

="dummy_dow1",="477.7",="85.8",="-769.1",="-501.2"
="",="(228.0)",="(328.1)",="(409.7)",="(420.1)"

="dummy_dow2",="653.6",="476.4",="-510.8",="0"
="",="(277.0)",="(418.1)",="(474.3)",="(.)"

="dummy_dow3",="215.9",="337.9",="-357.7",="73.0"
="",="(224.4)",="(367.2)",="(503.3)",="(473.3)"

="dummy_dow4",="300.1",="214.6",="-816.3",="-280.9"
="",="(220.6)",="(350.1)",="(425.6)",="(378.4)"

="dummy_dow5",="580.8",="363.9",="-279.8",="86.0"
="",="(206.3)",="(357.1)",="(449.0)",="(425.9)"

="dummy_dow6",="0",="0",="0",="-277.5"
="",="(.)",="(.)",="(.)",="(399.3)"

="dummy_suc1",="0",="0",="-752.5",="-66.0"
="",="(.)",="(.)",="(597.9)",="(529.3)"

="dummy_suc2",="-106.6",="222.7",="0",="749.2"
="",="(319.8)",="(615.4)",="(.)",="(646.5)"

="dummy_suc3",="-547.0",="-397.7",="-738.0",="-292.2"
="",="(283.2)",="(453.2)",="(519.8)",="(520.4)"

="dummy_suc4",="-607.7",="-602.2",="-1071.9",="-268.3"
="",="(272.0)",="(426.3)",="(483.6)",="(491.4)"

="dummy_suc5",="-505.4",="-718.9",="-1439.3",="0"
="",="(298.3)",="(496.5)",="(559.0)",="(.)"

="dummy_suc6",="-494.6",="-582.9",="-892.2",="-394.4"
="",="(310.0)",="(511.2)",="(715.8)",="(586.8)"

="num_arms_d3",="34.6",="-181.5",="-79.5",="-478.7"
="",="(192.3)",="(259.0)",="(307.8)",="(282.9)"

="num_arms_d4",="343.2",="263.9",="516.7",="-61.9"
="",="(275.5)",="(379.6)",="(481.8)",="(379.7)"

="num_arms_d5",="177.0",="207.4",="346.4",="492.6"
="",="(423.3)",="(693.3)",="(678.6)",="(841.8)"

="num_arms_d6",="1722.7",="1764.0",="3135.5",="-12.7"
="",="(1003.7)",="(1075.1)",="(1763.5)",="(641.9)"

="visit_number_d2",="-448.2",="-332.3",="-307.9",="-414.9"
="",="(182.0)",="(234.6)",="(323.6)",="(262.2)"

="visit_number_d3",="236.2",="600.4",="-278.5",="231.9"
="",="(402.2)",="(654.7)",="(706.0)",="(685.5)"

="visit_number_d4",="-539.7",="-760.6",="-1452.2",="-1182.3"
="",="(459.7)",="(507.7)",="(701.4)",="(423.0)"

="visit_number_d5",="-1302.3",="-1302.8",="-1233.6",="-1656.9"
="",="(442.9)",="(618.2)",="(895.7)",="(726.0)"

="visit_number_d6",="-980.2",="-565.7",="-1679.4",="-1474.3"
="",="(679.8)",="(892.9)",="(1085.9)",="(923.0)"

="visit_number_d7",="-1097.1",="-1955.7",="-2918.5",="-1561.4"
="",="(534.9)",="(650.8)",="(1365.0)",="(723.9)"

="_cons",="3245.1",="3828.0",="5074.9",="4010.9"
="",="(279.3)",="(507.2)",="(644.7)",="(642.0)"

="N",="4705",="3426",="2073",="2298"
="R-sq",="0.015",="0.016",="0.022",="0.025"
="Control Mean",="3157.4",="3576.0",="3637.0",="3484.1"

="Standard errors in parentheses"
