
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="fc_admin_disc",="fc_admin_disc",="fc_admin_disc",="fc_survey_disc",="fc_survey_disc",="fc_survey_disc",="fc_trans_disc",="fc_trans_disc",="fc_trans_disc",="fc_survey_pospay",="fc_survey_pospay",="fc_survey_pospay"

="pro_5",="-92.4",="",="",="-111.3",="",="",="-160.4",="",="",="-252.2",="",=""
="",="(123.7)",="",="",="(165.8)",="",="",="(207.2)",="",="",="(186.2)",="",=""

="dummy_dow1",="476.2",="218.7",="203.9",="15.0",="-89.1",="-616.2",="-650.7",="-297.8",="148.7",="-21.9",="-124.4",="-542.6"
="",="(191.1)",="(216.0)",="(290.8)",="(243.8)",="(248.6)",="(491.6)",="(496.3)",="(425.3)",="(320.6)",="(277.9)",="(283.7)",="(451.5)"

="dummy_dow2",="620.0",="376.9",="429.9",="562.9",="419.5",="203.7",="-277.9",="-135.0",="844.0",="326.4",="286.4",="0"
="",="(213.0)",="(230.6)",="(316.0)",="(343.2)",="(374.5)",="(583.3)",="(519.3)",="(441.2)",="(531.7)",="(396.2)",="(404.5)",="(.)"

="dummy_dow3",="0",="-214.6",="-400.7",="0",="0",="-665.7",="-935.5",="-684.6",="0",="0",="0",="-431.6"
="",="(.)",="(180.9)",="(252.3)",="(.)",="(.)",="(458.8)",="(472.7)",="(374.9)",="(.)",="(.)",="(.)",="(443.4)"

="dummy_dow4",="254.8",="105.7",="-66.6",="194.8",="271.1",="-417.3",="-800.9",="-387.3",="20.5",="73.5",="173.2",="-509.2"
="",="(190.3)",="(213.1)",="(285.0)",="(260.4)",="(272.4)",="(511.7)",="(496.7)",="(398.6)",="(321.4)",="(278.6)",="(294.8)",="(397.6)"

="dummy_dow5",="626.0",="447.8",="165.1",="438.6",="392.7",="-174.4",="-344.6",="-103.6",="728.7",="576.8",="629.6",="35.9"
="",="(201.9)",="(224.0)",="(280.2)",="(276.9)",="(269.8)",="(504.0)",="(501.8)",="(419.8)",="(365.0)",="(333.2)",="(327.0)",="(457.8)"

="dummy_dow6",="308.5",="0",="0",="451.1",="213.0",="0",="0",="0",="1243.3",="154.5",="252.0",="-534.3"
="",="(190.4)",="(.)",="(.)",="(347.1)",="(286.3)",="(.)",="(.)",="(.)",="(605.7)",="(297.0)",="(311.8)",="(399.7)"

="dummy_suc1",="0",="0",="-260.1",="-356.6",="-234.2",="784.7",="715.3",="536.3",="1133.3",="-430.9",="-531.8",="200.6"
