
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)"
="",="refrendo",="def",="def",="def",="def",="def",="def",="def",="def",="def",="def",="def",="def",="def"

="pago_fijo",="-0.64",="-0.77",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.043)",="(0.036)",="",="",="",="",="",="",="",="",="",="",="",=""

="residual",="0.0016",="0.046",="0.19",="",="",="",="",="",="0.37",="",="",="",="",=""
="",="(0.043)",="(0.036)",="(0.47)",="",="",="",="",="",="(0.54)",="",="",="",="",=""

="demand_past_immn",="",="",="-0.064",="",="",="",="",="",="-0.23",="",="",="",="",=""
="",="",="",="(0.47)",="",="",="",="",="",="(0.54)",="",="",="",="",=""

="pr",="",="",="",="-1.72",="-0.27",="-1.90",="",="",="",="-1.54",="-0.44",="-1.69",="",=""
="",="",="",="",="(0.73)",="(0.47)",="(0.73)",="",="",="",="(0.83)",="(0.54)",="(0.84)",="",=""

="pr1",="",="",="",="",="",="",="-0.15",="-0.40",="",="",="",="",="-0.42",="-0.68"
="",="",="",="",="",="",="",="(0.71)",="(0.71)",="",="",="",="",="(0.78)",="(0.79)"

="pr2",="",="",="",="",="",="",="-1.02",="-0.87",="",="",="",="",="-0.82",="-0.67"
="",="",="",="",="",="",="",="(0.78)",="(0.78)",="",="",="",="",="(0.80)",="(0.80)"

="nref",="",="",="",="",="",="",="-0.26",="-0.26",="",="",="",="",="-0.25",="-0.25"
="",="",="",="",="",="",="",="(0.0088)",="(0.0088)",="",="",="",="",="(0.0094)",="(0.0094)"

="_cons",="0.52",="0.76",="0.73",="0.67",="0.74",="0.68",="0.87",="0.88",="0.74",="0.69",="0.75",="0.70",="0.89",="0.89"
="",="(0.0011)",="(0.00096)",="(0.0050)",="(0.0077)",="(0.0050)",="(0.0078)",="(0.0076)",="(0.0076)",="(0.0052)",="(0.0081)",="(0.0052)",="(0.0081)",="(0.0080)",="(0.0080)"

="N",="773596",="773596",="77215",="34802",="76106",="34104",="77215",="76106",="64383",="29329",="63523",="28838",="64383",="63523"
="R-sq",="0.447",="0.463",="0.554",="0.644",="0.550",="0.639",="0.595",="0.590",="0.571",="0.655",="0.568",="0.650",="0.607",="0.604"
="DepVarMean",="0.51",="0.74",="0.73",="0.65",="0.73",="0.66",="0.73",="0.73",="0.74",="0.67",="0.75",="0.68",="0.74",="0.75"

="Standard errors in parentheses"
