
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)"
="",="demand_past_immn",="def",="def",="def",="def",="demand_past_immn",="def",="def",="def",="def",="demand_past_immn",="def",="def",="def",="def",="demand_past_immn",="def",="def",="def",="def"

="active_pastn",="0.021",="",="",="-0.0087",="-0.0015",="0.011",="",="",="-0.00037",="-0.0024",="0.020",="",="",="-0.0094",="-0.0027",="0.0097",="",="",="-0.0022",="-0.0041"
="",="(0.00065)",="",="",="(0.0031)",="(0.0031)",="(0.00088)",="",="",="(0.0045)",="(0.0046)",="(0.00067)",="",="",="(0.0032)",="(0.0032)",="(0.00095)",="",="",="(0.0049)",="(0.0049)"

="demand_past_immn",="",="-0.42",="",="",="",="",="-0.035",="",="",="",="",="-0.47",="",="",="",="",="-0.22",="",="",=""
="",="",="(0.15)",="",="",="",="",="(0.43)",="",="",="",="",="(0.16)",="",="",="",="",="(0.51)",="",="",=""

="residual",="",="0.066",="",="",="",="",="0.16",="",="",="",="",="0.13",="",="",="",="",="0.37",="",="",=""
="",="",="(0.15)",="",="",="",="",="(0.43)",="",="",="",="",="(0.16)",="",="",="",="",="(0.51)",="",="",=""

="pr",="",="",="-0.073",="",="",="",="",="-0.23",="",="",="",="",="-0.14",="",="",="",="",="-0.42",="",=""
="",="",="",="(0.15)",="",="",="",="",="(0.43)",="",="",="",="",="(0.16)",="",="",="",="",="(0.51)",="",=""

="_cons",="-0.00069",="0.74",="0.74",="0.74",="0.74",="0.0036",="0.72",="0.72",="0.72",="0.72",="-0.00072",="0.75",="0.75",="0.75",="0.75",="0.0027",="0.73",="0.74",="0.73",="0.74"
="",="(0.000078)",="(0.0024)",="(0.0024)",="(0.0025)",="(0.0025)",="(0.00065)",="(0.0049)",="(0.0049)",="(0.0033)",="(0.0033)",="(0.000085)",="(0.0025)",="(0.0025)",="(0.0026)",="(0.0026)",="(0.00070)",="(0.0050)",="(0.0050)",="(0.0037)",="(0.0036)"

="N",="98292",="98292",="97030",="98292",="97030",="62991",="62991",="61980",="62991",="61980",="85974",="85974",="84902",="85974",="84902",="52181",="52181",="51419",="52181",="51419"
="R-sq",="0.012",="0.013",="0.005",="0.005",="0.005",="0.585",="0.516",="0.510",="0.515",="0.510",="0.013",="0.012",="0.005",="0.005",="0.005",="0.583",="0.528",="0.524",="0.528",="0.524"
="DepVarMean",="0.013",="0.73",="0.74",="0.73",="0.74",="0.011",="0.71",="0.72",="0.71",="0.72",="0.012",="0.74",="0.75",="0.74",="0.75",="0.0099",="0.73",="0.73",="0.73",="0.73"

="Standard errors in parentheses"
