
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="demand_past_immn",="pago_fijo",="demand_past_immn",="pago_fijo",="demand_past_immn",="pago_fijo",="demand_past_immn",="pago_fijo"

="active_pastn",="0.020",="",="0.0100",="",="0.019",="",="0.0093",=""
="",="(0.00065)",="",="(0.00084)",="",="(0.00067)",="",="(0.00092)",=""

="demand_past_immn",="",="0.49",="",="0.30",="",="0.42",="",="0.25"
="",="",="(0.071)",="",="(0.18)",="",="(0.076)",="",="(0.21)"

="residual",="",="-0.015",="",="-0.51",="",="0.016",="",="-0.48"
="",="",="(0.070)",="",="(0.18)",="",="(0.075)",="",="(0.21)"

="_cons",="-0.00070",="0.037",="0.0036",="0.033",="-0.00075",="0.036",="0.0030",="0.031"
="",="(0.000082)",="(0.0011)",="(0.00060)",="(0.0019)",="(0.000090)",="(0.0011)",="(0.00066)",="(0.0021)"

="N",="110016",="110016",="77215",="77215",="95828",="95828",="64383",="64383"
="R-sq",="0.012",="0.086",="0.624",="0.612",="0.013",="0.078",="0.638",="0.606"
="DepVarMean",="0.012",="0.043",="0.011",="0.036",="0.012",="0.041",="0.0097",="0.033"

="Standard errors in parentheses"
