
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)"
="",="demand_past_immn",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="demand_past_immn",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="demand_past_immn",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="demand_past_immn",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo"

="active_pastn",="0.020",="",="",="0.0097",="0.00035",="0.0100",="",="",="0.0030",="0.0055",="0.019",="",="",="0.0081",="-0.00027",="0.0093",="",="",="0.0023",="0.0051"
="",="(0.00065)",="",="",="(0.0014)",="(0.0014)",="(0.00084)",="",="",="(0.0018)",="(0.0017)",="(0.00067)",="",="",="(0.0015)",="(0.0015)",="(0.00092)",="",="",="(0.0020)",="(0.0019)"

="demand_past_immn",="",="0.49",="",="",="",="",="0.30",="",="",="",="",="0.42",="",="",="",="",="0.25",="",="",=""
="",="",="(0.071)",="",="",="",="",="(0.18)",="",="",="",="",="(0.076)",="",="",="",="",="(0.21)",="",="",=""

="residual",="",="-0.015",="",="",="",="",="-0.51",="",="",="",="",="0.016",="",="",="",="",="-0.48",="",="",=""
="",="",="(0.070)",="",="",="",="",="(0.18)",="",="",="",="",="(0.075)",="",="",="",="",="(0.21)",="",="",=""

="pr",="",="",="0.018",="",="",="",="",="0.56",="",="",="",="",="-0.014",="",="",="",="",="0.55",="",=""
="",="",="",="(0.070)",="",="",="",="",="(0.17)",="",="",="",="",="(0.075)",="",="",="",="",="(0.21)",="",=""

="_cons",="-0.00070",="0.037",="0.037",="0.036",="0.037",="0.0036",="0.033",="0.023",="0.034",="0.025",="-0.00075",="0.036",="0.036",="0.036",="0.036",="0.0030",="0.031",="0.022",="0.032",="0.023"
="",="(0.000082)",="(0.0011)",="(0.0011)",="(0.0011)",="(0.0011)",="(0.00060)",="(0.0019)",="(0.0019)",="(0.0013)",="(0.0012)",="(0.000090)",="(0.0011)",="(0.0011)",="(0.0012)",="(0.0012)",="(0.00066)",="(0.0021)",="(0.0020)",="(0.0014)",="(0.0014)"

="N",="110016",="110016",="108675",="110016",="108675",="77215",="77215",="76106",="77215",="76106",="95828",="95828",="94682",="95828",="94682",="64383",="64383",="63523",="64383",="63523"
="R-sq",="0.012",="0.086",="0.021",="0.019",="0.021",="0.624",="0.612",="0.561",="0.607",="0.561",="0.013",="0.078",="0.023",="0.022",="0.023",="0.638",="0.606",="0.564",="0.600",="0.564"
="DepVarMean",="0.012",="0.043",="0.037",="0.043",="0.037",="0.011",="0.036",="0.029",="0.036",="0.029",="0.012",="0.041",="0.036",="0.041",="0.036",="0.0097",="0.033",="0.027",="0.033",="0.027"

="Standard errors in parentheses"
