
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo"

="pr1",="0.66",="0.23",="0.24",="0.48",="0.58",="0.19",="0.16",="0.44"
="",="(0.036)",="(0.032)",="(0.11)",="(0.10)",="(0.038)",="(0.034)",="(0.13)",="(0.12)"

="pr2",="13.7",="13.9",="19.2",="21.4",="14.3",="14.5",="26.2",="29.2"
="",="(2.21)",="(2.20)",="(5.27)",="(5.13)",="(2.37)",="(2.37)",="(7.74)",="(7.53)"

="def_past_immn",="0.0080",="0.0080",="0.017",="0.018",="0.0068",="0.0067",="0.011",="0.011"
="",="(0.0026)",="(0.0026)",="(0.0069)",="(0.0067)",="(0.0028)",="(0.0028)",="(0.0084)",="(0.0082)"

="_cons",="0.037",="0.037",="0.051",="0.029",="0.037",="0.036",="0.053",="0.033"
="",="(0.0021)",="(0.0021)",="(0.0079)",="(0.0076)",="(0.0024)",="(0.0024)",="(0.0093)",="(0.0090)"

="N",="70059",="68899",="25551",="24682",="61524",="60527",="20753",="20071"
="R-sq",="0.034",="0.030",="0.538",="0.495",="0.036",="0.033",="0.528",="0.491"
="DepVarMean",="0.058",="0.051",="0.077",="0.062",="0.056",="0.049",="0.072",="0.059"

="Standard errors in parentheses"
