
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo"

="pr1",="0.60",="0.12",="-0.14",="-0.041",="0.52",="0.085",="-0.15",="-0.070"
="",="(0.066)",="(0.062)",="(0.18)",="(0.18)",="(0.072)",="(0.068)",="(0.22)",="(0.21)"

="pr2",="-0.012",="-0.0014",="0.47",="0.72",="0.016",="0.035",="0.47",="0.81"
="",="(0.18)",="(0.18)",="(0.20)",="(0.19)",="(0.20)",="(0.20)",="(0.27)",="(0.26)"

="pr3",="0.42",="0.45",="0.22",="0.28",="0.49",="0.52",="0.24",="0.34"
="",="(0.35)",="(0.34)",="(0.34)",="(0.33)",="(0.38)",="(0.37)",="(0.42)",="(0.41)"

="num_learning_2",="-0.0055",="-0.0057",="0.0056",="0.0062",="-0.0062",="-0.0064",="0.0057",="0.0062"
="",="(0.0030)",="(0.0030)",="(0.0031)",="(0.0030)",="(0.0032)",="(0.0032)",="(0.0036)",="(0.0035)"

="num_learning_3",="-0.017",="-0.018",="0.021",="0.021",="-0.017",="-0.018",="0.021",="0.021"
="",="(0.0030)",="(0.0030)",="(0.0039)",="(0.0038)",="(0.0031)",="(0.0031)",="(0.0041)",="(0.0040)"

="_cons",="0.041",="0.041",="0.029",="0.017",="0.040",="0.040",="0.025",="0.015"
="",="(0.0013)",="(0.0013)",="(0.0029)",="(0.0028)",="(0.0013)",="(0.0013)",="(0.0031)",="(0.0030)"

="N",="96347",="95092",="60432",="59429",="84400",="83335",="50053",="49299"
="R-sq",="0.022",="0.022",="0.559",="0.493",="0.024",="0.025",="0.539",="0.484"
="DepVarMean",="0.045",="0.039",="0.038",="0.029",="0.043",="0.037",="0.035",="0.027"

="Standard errors in parentheses"
