
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="demand_past_immn",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="demand_past_immn",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo"

="active_pastn",="0.028",="",="",="0.017",="0.0033",="0.027",="",="",="0.014",="0.0023"
="",="(0.00098)",="",="",="(0.0018)",="(0.0017)",="(0.0010)",="",="",="(0.0019)",="(0.0018)"

="demand_past_immn",="",="0.60",="",="",="",="",="0.52",="",="",=""
="",="",="(0.062)",="",="",="",="",="(0.068)",="",="",=""

="residual",="",="-0.12",="",="",="",="",="-0.086",="",="",=""
="",="",="(0.061)",="",="",="",="",="(0.066)",="",="",=""

="pr",="",="",="0.12",="",="",="",="",="0.086",="",=""
="",="",="",="(0.061)",="",="",="",="",="(0.066)",="",=""

="_cons",="-0.0014",="0.040",="0.040",="0.039",="0.040",="-0.0014",="0.039",="0.039",="0.038",="0.039"
="",="(0.00013)",="(0.0012)",="(0.0012)",="(0.0012)",="(0.0012)",="(0.00014)",="(0.0012)",="(0.0012)",="(0.0013)",="(0.0013)"

="N",="56758",="56758",="55937",="56758",="55937",="49946",="49946",="49246",="49946",="49246"
="R-sq",="0.020",="0.094",="0.025",="0.025",="0.025",="0.020",="0.085",="0.027",="0.026",="0.027"
="DepVarMean",="0.014",="0.049",="0.042",="0.049",="0.042",="0.014",="0.046",="0.040",="0.046",="0.040"

="Standard errors in parentheses"
