
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)"
="",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo",="pago_fijo"

="demand_past_immn",="0.60***",="0.61***",="",="",="0.40**",="",="",="0.62***",="0.60***",="",="",="0.11***",="",="",="0.56***",="0.55***",="",="",="0.37*",="",="",="0.61***",="0.58***",="",="",="0.092***",="",=""
="",="(0.063)",="(0.058)",="",="",="(0.18)",="",="",="(0.024)",="(0.015)",="",="",="(0.024)",="",="",="(0.065)",="(0.062)",="",="",="(0.22)",="",="",="(0.025)",="(0.016)",="",="",="(0.025)",="",=""

="active_pastn",="",="",="0.016***",="0.0035**",="",="0.0045**",="0.0074***",="",="",="0.059***",="-0.0011",="",="0.0083***",="0.013***",="",="",="0.014***",="0.0028*",="",="0.0039*",="0.0070***",="",="",="0.057***",="-0.0026*",="",="0.0074***",="0.013***"
="",="",="",="(0.0015)",="(0.0014)",="",="(0.0020)",="(0.0019)",="",="",="(0.0018)",="(0.0014)",="",="(0.0019)",="(0.0016)",="",="",="(0.0016)",="(0.0015)",="",="(0.0022)",="(0.0021)",="",="",="(0.0019)",="(0.0015)",="",="(0.0020)",="(0.0018)"

="N",="54331",="90416",="90416",="89178",="55582",="55582",="54593",="64940",="137905",="137905",="126739",="102272",="102272",="90806",="50063",="79447",="79447",="78396",="46196",="46196",="45451",="62782",="127458",="127458",="116942",="92276",="92276",="81456"
="R-sq",="0.069",="0.068",="0.023",="0.023",="-0.101",="0.566",="0.498",="0.219",="0.339",="0.048",="0.019",="-0.017",="0.687",="0.512",="0.065",="0.057",="0.025",="0.026",="-0.089",="0.544",="0.488",="0.217",="0.336",="0.053",="0.020",="-0.014",="0.695",="0.525"
="DepVarMean",="0.050",="0.047",="0.047",="0.040",="0.040",="0.040",="0.030",="0.070",="0.10",="0.10",="0.051",="0.12",="0.12",="0.046",="0.048",="0.045",="0.045",="0.039",="0.036",="0.036",="0.028",="0.072",="0.11",="0.11",="0.053",="0.13",="0.13",="0.048"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
