
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="dias_primer_pago",="num_p",="mn_p_c",="trans_cost",="dias_al_desempenyo",="pays_c",="sum_porcp_c",="sum_porcp_c"

="pro_5",="-1.09",="0.037",="-84.6",="4.02",="-3.10",="-0.020",="-0.016",=""
="",="(0.94)",="(0.041)",="(53.6)",="(4.61)",="(3.14)",="(0.019)",="(0.022)",=""

="dummy_dow1",="-1.66",="0.089",="155.7",="12.3",="6.27",="-0.016",="-0.0077",="0.00069"
="",="(1.37)",="(0.058)",="(78.8)",="(9.25)",="(3.57)",="(0.032)",="(0.040)",="(0.011)"

="dummy_dow2",="-1.71",="0.074",="100.0",="0.46",="2.69",="-0.030",="-0.026",="0.010"
="",="(1.46)",="(0.075)",="(81.5)",="(6.78)",="(5.25)",="(0.031)",="(0.036)",="(0.015)"

="dummy_dow3",="0",="0",="0",="0",="0",="0",="-0.033",="0.017"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(0.039)",="(0.012)"

="dummy_dow4",="-0.30",="0.068",="88.7",="1.31",="8.48",="-0.024",="-0.0081",="0.014"
="",="(1.43)",="(0.060)",="(70.4)",="(6.53)",="(4.81)",="(0.028)",="(0.039)",="(0.011)"

="dummy_dow5",="-1.80",="0.028",="204.0",="-0.078",="4.19",="-0.033",="-0.016",="0.0015"
="",="(1.32)",="(0.072)",="(91.8)",="(6.75)",="(3.94)",="(0.030)",="(0.038)",="(0.011)"

="dummy_dow6",="-3.04",="0.043",="59.8",="-1.78",="0.92",="-0.0083",="0",="0"
="",="(1.79)",="(0.067)",="(70.0)",="(6.35)",="(4.17)",="(0.028)",="(.)",="(.)"

="dummy_suc1",="0",="0",="0",="-7.89",="-10.2",="0",="0",="0.067"
="",="(.)",="(.)",="(.)",="(8.04)",="(4.06)",="(.)",="(.)",="(0.013)"

="dummy_suc2",="2.32",="0.0059",="-84.4",="0",="0",="-0.0086",="-0.098",="0.094"
="",="(1.54)",="(0.091)",="(88.2)",="(.)",="(.)",="(0.033)",="(0.042)",="(0.014)"

="dummy_suc3",="1.17",="-0.15",="-214.5",="-21.9",="-11.1",="-0.12",="-0.065",="0.031"
="",="(1.73)",="(0.076)",="(61.1)",="(12.3)",="(5.03)",="(0.031)",="(0.039)",="(0.011)"

="dummy_suc4",="0.20",="-0.023",="-212.2",="-20.1",="-11.6",="-0.062",="-0.062",="0.064"
="",="(1.28)",="(0.080)",="(58.5)",="(7.81)",="(4.20)",="(0.024)",="(0.032)",="(0.012)"

