
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="fc_i_admin",="apr_i",="des_i_c",="def_i_c",="fc_i_admin",="apr_i",="des_i_c",="def_i_c",="fc_i_admin",="apr_i",="des_i_c",="def_i_c"

="1.t_producto",="0",="0",="0",="0",="0",="0",="0",="0",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",=""

="2.t_producto",="-379.9***",="-0.34***",="0.14***",="-0.064***",="-328.1***",="-0.20***",="0.099***",="-0.032",="",="",="",=""
="",="(111.4)",="(0.081)",="(0.025)",="(0.023)",="(94.5)",="(0.071)",="(0.021)",="(0.020)",="",="",="",=""

="4.t_producto",="-78.8",="-0.10",="0.0094",="-0.023",="-71.0",="-0.024",="0.00054",="-0.0046",="",="",="",=""
="",="(114.5)",="(0.074)",="(0.022)",="(0.021)",="(94.2)",="(0.065)",="(0.018)",="(0.018)",="",="",="",=""

="2.first_tr",="",="",="",="",="",="",="",="",="-285.3***",="-0.27***",="0.11***",="-0.051***"
="",="",="",="",="",="",="",="",="",="(91.6)",="(0.066)",="(0.021)",="(0.019)"

="4.first_tr",="",="",="",="",="",="",="",="",="-105.0",="-0.13**",="0.029",="-0.032*"
="",="",="",="",="",="",="",="",="",="(91.9)",="(0.059)",="(0.018)",="(0.018)"

="N",="6304",="6304",="6304",="6304",="8519",="8519",="8519",="8519",="8813",="8813",="8813",="8813"
="R-sq",="0.007",="0.011",="0.019",="0.013",="0.010",="0.008",="0.018",="0.010",="0.011",="0.012",="0.020",="0.015"
="Control Mean",="1850.6",="1.83",="0.43",="0.43",="1794.4",="1.74",="0.46",="0.42",="1805.7",="1.82",="0.44",="0.44"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
