
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="num_pawns",="num_pawns",="num_pawns",="num_borrowers",="num_borrowers",="num_borrowers"

="before",="-4.02",="2.39",="2.39",="-2.51",="2.63",="2.63"
="",="(4.37)",="(4.55)",="(4.55)",="(1.91)",="(1.99)",="(1.99)"

="after",="-1.69",="0.070",="0.070",="-1.25",="0.16",="0.16"
="",="(2.07)",="(1.69)",="(1.69)",="(1.39)",="(0.85)",="(0.85)"

="fecha_inicial",="-0.10**",="63.4***",="63.4***",="-0.075**",="50.9***",="50.9***"
="",="(0.028)",="(13.7)",="(13.7)",="(0.022)",="(8.61)",="(8.61)"

="3.suc",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="5.suc",="-7.44***",="-7.52***",="-7.52***",="-3.09***",="-3.15***",="-3.15***"
="",="(0.056)",="(0.054)",="(0.054)",="(0.029)",="(0.025)",="(0.025)"

="42.suc",="-50.9***",="-49.6***",="-49.6***",="-34.9***",="-33.8***",="-33.8***"
="",="(1.78)",="(1.81)",="(1.81)",="(0.78)",="(0.76)",="(0.76)"

="78.suc",="-42.8***",="-41.6***",="-41.6***",="-25.5***",="-24.5***",="-24.5***"
="",="(1.70)",="(1.71)",="(1.71)",="(0.78)",="(0.72)",="(0.72)"

="80.suc",="-47.8***",="-46.9***",="-46.9***",="-30.7***",="-30.0***",="-30.0***"
="",="(1.50)",="(1.47)",="(1.47)",="(0.73)",="(0.63)",="(0.63)"

="104.suc",="-60.4***",="-59.4***",="-59.4***",="-38.2***",="-37.4***",="-37.4***"
="",="(1.56)",="(1.54)",="(1.54)",="(0.74)",="(0.66)",="(0.66)"

="c.fecha_inicial#c.fecha_inicial",="",="-0.0016***",="-0.0016***",="",="-0.0013***",="-0.0013***"
="",="",="(0.00035)",="(0.00035)",="",="(0.00022)",="(0.00022)"

="c.fecha_inicial#c.fecha_inicial#c.fecha_inicial",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)"

="_cons",="2099.8**",="-610104.2***",="-610104.2***",="1505.3**",="-490284.7***",="-490284.7***"
="",="(536.1)",="(131988.7)",="(131988.7)",="(430.8)",="(83049.9)",="(83049.9)"

="N",="775",="775",="775",="775",="775",="775"
="R-sq",="0.704",="0.714",="0.714",="0.749",="0.765",="0.765"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
