
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="pago_frec_vol_promise",="pago_frec_vol_fee",="pago_frec_vol_promise",="pago_frec_vol_fee",="tau_hat_oobpredictions",="tau_hat_oobpredictions"

="OC",="0.039",="-0.16**",="0.010",="-0.16*",="-24.4**",="-27.3**"
="",="(0.094)",="(0.072)",="(0.14)",="(0.084)",="(11.8)",="(12.0)"

="dummy_dow1",="-0.065",="-0.017",="0.027",="-0.075",="-10.0",="-9.94"
="",="(0.061)",="(0.039)",="(0.087)",="(0.083)",="(14.8)",="(14.8)"

="dummy_dow2",="-0.037",="0.027",="-0.010",="-0.047",="0",="0"
="",="(0.059)",="(0.039)",="(0.072)",="(0.078)",="(.)",="(.)"

="dummy_dow3",="0",="0.083",="0",="0",="-17.0",="-16.6"
="",="(.)",="(0.051)",="(.)",="(.)",="(13.9)",="(13.9)"

="dummy_dow4",="0.017",="0",="0.040",="-0.063",="5.51",="6.94"
="",="(0.053)",="(.)",="(0.064)",="(0.096)",="(13.3)",="(13.3)"

="dummy_dow5",="0.079",="-0.030",="0.11",="-0.12",="-68.6***",="-67.7***"
="",="(0.066)",="(0.037)",="(0.079)",="(0.078)",="(14.5)",="(14.5)"

="dummy_dow6",="-0.030",="0.068",="0.024",="-0.025",="-5.16",="-4.57"
="",="(0.055)",="(0.045)",="(0.073)",="(0.093)",="(15.2)",="(15.2)"

="dummy_suc1",="0",="0.093***",="0",="0.10*",="71.3***",="72.5***"
="",="(.)",="(0.033)",="(.)",="(0.060)",="(13.9)",="(14.0)"

="dummy_suc2",="-0.20**",="0.079**",="-0.13",="0.053",="0",="0"
="",="(0.085)",="(0.035)",="(0.12)",="(0.056)",="(.)",="(.)"

="dummy_suc3",="-0.033",="0.20***",="-0.016",="0.19***",="77.0***",="78.1***"
="",="(0.081)",="(0.038)",="(0.13)",="(0.066)",="(13.0)",="(12.9)"

="dummy_suc4",="-0.35***",="-0.052**",="-0.31**",="-0.042",="67.4***",="68.3***"
="",="(0.072)",="(0.022)",="(0.12)",="(0.044)",="(13.7)",="(13.7)"

="dummy_suc5",="-0.56***",="0",="-0.52***",="0",="79.4***",="81.2***"
="",="(0.069)",="(.)",="(0.11)",="(.)",="(13.4)",="(13.7)"

="dummy_suc6",="-0.072",="0.29***",="-0.030",="0.29***",="70.2***",="71.9***"
="",="(0.078)",="(0.045)",="(0.13)",="(0.062)",="(16.0)",="(16.0)"

="num_arms_d3",="-0.056",="-0.011",="-0.052",="-0.016",="6.08",="5.75"
="",="(0.044)",="(0.029)",="(0.056)",="(0.035)",="(9.19)",="(9.14)"

="num_arms_d4",="-0.16**",="0.083",="-0.15",="0.14*",="-14.1",="-15.5"
="",="(0.072)",="(0.060)",="(0.10)",="(0.074)",="(17.6)",="(17.9)"

="num_arms_d5",="0.14",="0.11",="0.39***",="0.26*",="-8.40",="-13.0"
="",="(0.11)",="(0.11)",="(0.11)",="(0.14)",="(17.4)",="(17.2)"

="num_arms_d6",="0",="0.43",="0",="0.43",="7.94",="5.58"
="",="(.)",="(0.31)",="(.)",="(0.34)",="(43.1)",="(43.4)"

="visit_number_d2",="0.064",="-0.0014",="0.11",="-0.012",="-40.1***",="-38.9***"
="",="(0.056)",="(0.036)",="(0.068)",="(0.049)",="(12.3)",="(12.3)"

="visit_number_d3",="-0.077",="-0.21***",="-0.11",="-0.24**",="7.28",="7.39"
="",="(0.12)",="(0.064)",="(0.10)",="(0.092)",="(19.5)",="(19.7)"

="visit_number_d4",="-0.46***",="0.028",="-0.72***",="-0.029",="101.0***",="109.6***"
="",="(0.11)",="(0.10)",="(0.14)",="(0.17)",="(24.9)",="(25.9)"

="visit_number_d5",="0.054",="-0.13**",="0.046",="-0.13",="28.0",="26.4"
="",="(0.073)",="(0.065)",="(0.11)",="(0.096)",="(37.3)",="(37.6)"

="visit_number_d6",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="visit_number_d7",="0",="0",="0",="0",="-50.6***",="-39.3**"
="",="(.)",="(.)",="(.)",="(.)",="(15.8)",="(17.2)"

="masqueprepa",="",="",="0.013",="0.068***",="",="9.52"
="",="",="",="(0.046)",="(0.024)",="",="(7.88)"

="plan_gasto",="",="",="0.046*",="-0.015",="",="2.58"
="",="",="",="(0.026)",="(0.017)",="",="(4.00)"

="pb",="",="",="-0.077",="0.042",="",="17.6**"
="",="",="",="(0.050)",="(0.050)",="",="(8.38)"

="_cons",="0.61***",="0.19**",="0.49***",="0.24*",="-139.8***",="-151.2***"
="",="(0.12)",="(0.080)",="(0.18)",="(0.13)",="(17.7)",="(18.9)"

="N",="845",="1039",="678",="780",="1266",="1266"
="R-sq",="0.189",="0.137",="0.225",="0.162",="0.107",="0.111"
="Dep. Var. Mean",="0.36",="0.14",="0.36",="0.15",="-121.9",="-121.9"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
