
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="reincidence",="reincidence_fnr",="reincidence_rec",="reincidence",="reincidence",="reincidence",="reincidence",="reincidence",="reincidence",="reincidence",="reincidence",="reincidence"

="pro_2",="0.060",="0.047",="0.030",="0.14",="",="",="",="",="",="",="",=""
="",="(0.010)",="(0.0099)",="(0.0076)",="(0.044)",="",="",="",="",="",="",="",=""

="dummy_dow1",="0.0092",="0.0080",="-0.0038",="0.049",="0.018",="-0.069",="-0.012",="-0.015",="-0.0012",="0.011",="0.048",="0.011"
="",="(0.018)",="(0.016)",="(0.014)",="(0.12)",="(0.016)",="(0.083)",="(0.016)",="(0.016)",="(0.022)",="(0.015)",="(0.016)",="(0.019)"

="dummy_dow2",="0",="0",="0",="0.030",="0.014",="-0.062",="0.0090",="0.011",="-0.0084",="0.028",="0.072",="0.00021"
="",="(.)",="(.)",="(.)",="(0.13)",="(0.015)",="(0.066)",="(0.016)",="(0.017)",="(0.022)",="(0.015)",="(0.018)",="(0.017)"

="dummy_dow3",="-0.011",="-0.012",="-0.022",="-0.048",="0.016",="-0.053",="0.011",="0.0098",="0",="0",="0.038",="0.0010"
="",="(0.019)",="(0.018)",="(0.014)",="(0.10)",="(0.017)",="(0.082)",="(0.019)",="(0.019)",="(.)",="(.)",="(0.017)",="(0.021)"

="dummy_dow4",="0.033",="0.034",="-0.011",="0.078",="0.010",="0",="0",="0",="0.0058",="0.016",="0.051",="0.020"
="",="(0.019)",="(0.018)",="(0.013)",="(0.12)",="(0.017)",="(.)",="(.)",="(.)",="(0.025)",="(0.015)",="(0.016)",="(0.019)"

="dummy_dow5",="0.0059",="0.0079",="-0.0066",="-0.0061",="0.027",="-0.062",="-0.015",="-0.014",="-0.0055",="0.014",="0.043",="0.020"
="",="(0.018)",="(0.017)",="(0.014)",="(0.10)",="(0.018)",="(0.080)",="(0.016)",="(0.016)",="(0.024)",="(0.017)",="(0.017)",="(0.022)"

="dummy_dow6",="-0.038",="-0.034",="-0.018",="0",="0",="-0.10",="-0.0036",="-0.0087",="-0.036",="-0.0098",="0",="0"
="",="(0.018)",="(0.017)",="(0.014)",="(.)",="(.)",="(0.076)",="(0.017)",="(0.017)",="(0.023)",="(0.016)",="(.)",="(.)"

="dummy_suc1",="0.17",="0.17",="-0.024",="0.24",="0",="0.090",="0.0064",="0.0024",="0.11",="0",="0",="0.037"
="",="(0.024)",="(0.023)",="(0.017)",="(0.070)",="(.)",="(0.086)",="(0.021)",="(0.022)",="(0.027)",="(.)",="(.)",="(0.034)"

="dummy_suc2",="0.10",="0.11",="-0.038",="0.14",="-0.088",="0.11",="0",="0",="0.061",="-0.018",="-0.029",="0"
="",="(0.024)",="(0.022)",="(0.017)",="(0.070)",="(0.028)",="(0.058)",="(.)",="(.)",="(0.023)",="(0.030)",="(0.033)",="(.)"

="dummy_suc3",="-0.014",="-0.00043",="-0.014",="-0.025",="-0.13",="0.018",="-0.063",="-0.065",="0.0075",="-0.097",="-0.11",="-0.059"
="",="(0.015)",="(0.013)",="(0.016)",="(0.047)",="(0.024)",="(0.050)",="(0.017)",="(0.018)",="(0.014)",="(0.024)",="(0.027)",="(0.025)"

="dummy_suc4",="-0.019",="0.0049",="-0.046",="-0.11",="-0.13",="0.0054",="-0.054",="-0.057",="0",="-0.093",="-0.093",="-0.078"
="",="(0.016)",="(0.013)",="(0.015)",="(0.064)",="(0.025)",="(0.041)",="(0.017)",="(0.018)",="(.)",="(0.023)",="(0.026)",="(0.024)"

="dummy_suc5",="-0.015",="-0.0024",="-0.041",="0",="-0.10",="0",="-0.039",="-0.038",="0.014",="-0.095",="-0.11",="-0.050"
="",="(0.015)",="(0.012)",="(0.014)",="(.)",="(0.025)",="(.)",="(0.018)",="(0.019)",="(0.016)",="(0.024)",="(0.026)",="(0.025)"

="dummy_suc6",="0",="0",="0",="0.015",="-0.10",="0.019",="-0.048",="-0.049",="0.024",="-0.091",="-0.096",="-0.048"
="",="(.)",="(.)",="(.)",="(0.052)",="(0.026)",="(0.039)",="(0.019)",="(0.020)",="(0.018)",="(0.025)",="(0.028)",="(0.025)"

="num_arms_75_d3",="-0.00031",="0.017",="-0.025",="-0.058",="-0.00049",="-0.071",="0.013",="0.013",="0.025",="0.025",="0.034",="0.021"
="",="(0.031)",="(0.029)",="(0.028)",="(0.11)",="(0.027)",="(0.066)",="(0.027)",="(0.028)",="(0.037)",="(0.027)",="(0.030)",="(0.034)"

="num_arms_75_d4",="-0.0013",="-0.022",="-0.0070",="0.11",="-0.041",="-0.29",="-0.066",="-0.071",="-0.037",="0.015",="-0.0041",="-0.017"
="",="(0.057)",="(0.052)",="(0.053)",="(0.20)",="(0.060)",="(0.14)",="(0.052)",="(0.055)",="(0.069)",="(0.058)",="(0.063)",="(0.062)"

="num_arms_75_d5",="-0.044",="0.053",="-0.17",="0.038",="0.015",="0.24",="0.0021",="0.026",="-0.046",="-0.034",="-0.078",="0.019"
="",="(0.11)",="(0.10)",="(0.079)",="(0.30)",="(0.12)",="(0.22)",="(0.11)",="(0.11)",="(0.12)",="(0.093)",="(0.10)",="(0.11)"

="num_arms_75_d6",="0.022",="0.26",="-0.42",="0",="-0.090",="0",="0.17",="0.17",="-0.0093",="0.31",="0.12",="0.25"
="",="(0.21)",="(0.21)",="(0.099)",="(.)",="(0.25)",="(.)",="(0.22)",="(0.23)",="(0.26)",="(0.22)",="(0.23)",="(0.28)"

