
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="reincidence",="reincidence_ar",="reincidence_br",="reincidence_other",="reincidence_des",="sum_profits",="sum_profits_impute_def"

="2.t_producto",="0.067*",="0.037***",="0.032",="0.044",="0.11**",="-118.9",="-168.8"
="",="(0.035)",="(0.013)",="(0.027)",="(0.030)",="(0.047)",="(249.4)",="(299.5)"

="4.t_producto",="0.040",="0.0098",="0.030",="0.038",="0.057",="82.3",="111.9"
="",="(0.031)",="(0.0087)",="(0.026)",="(0.028)",="(0.042)",="(251.8)",="(306.7)"

="N",="4441",="4441",="4441",="4441",="2170",="4441",="4441"
="R-sq",="0.003",="0.006",="0.001",="0.002",="0.008",="0.000",="0.000"
="Control Mean",="0.32",="0.020",="0.30",="0.30",="0.35",="2300.1",="2631.0"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
