
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="num_borrowers",="num_pawns_borr",="num_pawns",="prestamo_i",="takeup",="num_pawns_client"

="2.t_producto",="-1.78",="-0.081",="-4.19*",="-94.7",="-0.0077",="-0.069"
="",="(1.16)",="(0.059)",="(2.17)",="(122.3)",="(0.034)",="(0.067)"

="4.t_producto",="0.73",="-0.017",="1.29",="-150.2",="-0.0024",="-0.011"
="",="(1.05)",="(0.050)",="(1.77)",="(115.2)",="(0.031)",="(0.068)"

="_cons",="23.4***",="1.44***",="34.5***",="2228.0***",="0.97***",="1.40***"
="",="(0.74)",="(0.038)",="(1.31)",="(81.9)",="(0.021)",="(0.048)"

="N",="246",="243",="246",="243",="243",="246"
="R-sq",="0.829",="0.392",="0.775",="0.485",="0.268",="0.333"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
