
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="des_c_robust",="des_c_robust",="dias_al_desempenyo_robust",="dias_al_desempenyo_robust",="ganancia_robust",="ganancia_robust",="num_p_robust",="num_p_robust",="sum_porcp_c_robust",="sum_porcp_c_robust",="reincidence_robust",="reincidence_robust"

="1.t_producto",="0",="",="0",="",="0",="",="0",="",="0",="",="0",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""

="2.t_producto",="0.16***",="",="-8.63***",="",="0.11***",="",="1.03***",="",="0.11***",="",="0.064***",=""
="",="(0.026)",="",="(2.83)",="",="(0.022)",="",="(0.25)",="",="(0.022)",="",="(0.016)",=""

="3.t_producto",="0.012",="",="-0.24",="",="0.013",="",="0.91***",="",="0.013",="",="-0.0096",=""
="",="(0.025)",="",="(3.31)",="",="(0.023)",="",="(0.27)",="",="(0.023)",="",="(0.016)",=""

="4.t_producto",="0.015",="",="1.02",="",="0.0066",="",="0.97***",="",="0.0066",="",="-0.0023",=""
="",="(0.023)",="",="(3.06)",="",="(0.020)",="",="(0.35)",="",="(0.020)",="",="(0.014)",=""

="5.t_producto",="0.010",="",="-2.79",="",="0.0040",="",="0.43",="",="0.0040",="",="-0.00052",=""
="",="(0.024)",="",="(3.35)",="",="(0.022)",="",="(0.26)",="",="(0.022)",="",="(0.014)",=""

="prestamo",="0.0000078***",="0.0000079***",="-0.000043",="-0.000044",="0.0000059***",="0.0000059***",="0.000099***",="0.00010***",="0.0000059***",="0.0000059***",="0.0000017",="0.0000017"
="",="(0.0000019)",="(0.0000019)",="(0.00027)",="(0.00027)",="(0.0000018)",="(0.0000018)",="(0.000033)",="(0.000034)",="(0.0000018)",="(0.0000018)",="(0.0000018)",="(0.0000018)"

="dummy_dow1",="-0.012",="-0.011",="0.16",="0.100",="0.019",="0.019",="0.23",="0.25",="0.019",="0.019",="-0.0018",="-0.0014"
="",="(0.028)",="(0.028)",="(3.07)",="(3.08)",="(0.024)",="(0.024)",="(0.38)",="(0.38)",="(0.024)",="(0.024)",="(0.017)",="(0.017)"

="dummy_dow2",="-0.052*",="-0.052*",="-2.72",="-2.91",="-0.029",="-0.029",="-0.15",="-0.10",="-0.029",="-0.029",="-0.0091",="-0.0093"
="",="(0.030)",="(0.030)",="(3.56)",="(3.57)",="(0.024)",="(0.024)",="(0.34)",="(0.34)",="(0.024)",="(0.024)",="(0.017)",="(0.017)"

="dummy_dow3",="-0.011",="-0.013",="-6.71**",="-6.80**",="-0.014",="-0.015",="-0.33",="-0.34",="-0.014",="-0.015",="0.0096",="0.0092"
="",="(0.030)",="(0.030)",="(3.23)",="(3.24)",="(0.025)",="(0.025)",="(0.44)",="(0.41)",="(0.025)",="(0.025)",="(0.017)",="(0.017)"

="dummy_dow4",="0.010",="0.013",="2.13",="1.87",="0.020",="0.021",="-0.25",="-0.14",="0.020",="0.021",="0.017",="0.017"
="",="(0.028)",="(0.028)",="(3.44)",="(3.42)",="(0.024)",="(0.024)",="(0.33)",="(0.34)",="(0.024)",="(0.024)",="(0.017)",="(0.017)"

