
="",="(1)",="(2)",="(3)",="(4)"
="",="",="",="",=""

="ATE",="9.25***",="181.9***",="7.68***",="6.34**"
="",="(2.04)",="(50.8)",="(2.50)",="(2.90)"

="ToT",="0.060",="120.7",="38.0*",="-25.9"
="",="(21.1)",="(528.6)",="(21.7)",="(29.1)"

="TuT",="10.3***",="189.1***",="4.07*",="10.2***"
="",="(2.46)",="(50.9)",="(2.42)",="(2.90)"

="E[Y1]",="-56.6***",="-941.3***",="56.5***",="60.9***"
="",="(1.42)",="(27.3)",="(1.69)",="(1.70)"

="E[Y0]",="-47.4***",="-759.4***",="64.2***",="67.2***"
="",="(1.46)",="(42.9)",="(1.83)",="(2.35)"

="ToT-TuT",="-10.3",="-68.5",="33.9",="-36.1"
="",="(22.7)",="(556.6)",="(22.6)",="(30.6)"

="ASB",="14.9",="280.3",="-39.8*",="22.7"
="",="(22.1)",="(551.6)",="(22.3)",="(30.1)"

="ASL",="4.58",="211.9***",="-5.90",="-13.4***"
="",="(3.55)",="(59.5)",="(4.29)",="(4.20)"

="N",="6304",="6304",="6304",="6304"
="Control Mean",="-56.6",="-941.3",="56.5",="60.9"
="H_0 : ATE-TuT=0",="0.65",="0.90",="0.13",="0.23"
="H_0 : ATE-ToT=0",="0.65",="0.90",="0.14",="0.24"
="H_0 : ToT-TuT=0",="0.65",="0.90",="0.14",="0.24"
="H_0 : ToT-TuT$\geq$ 0",="0.67",="0.55",="0.068",="0.88"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
