
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="apr",="apr",="des_c",="des_c",="eff_cost_loan",="eff_cost_loan",="pay_default",="pay_default"

="2.t_producto",="32.8***",="40.0***",="0.11***",="0.12***",="0.061***",="0.075***",="0.11***",="0.13***"
="",="(6.81)",="(6.40)",="(0.023)",="(0.022)",="(0.013)",="(0.012)",="(0.020)",="(0.020)"

="4.t_producto",="-7.51",="-1.53",="-0.0062",="0.0021",="-0.015",="-0.0036",="-0.017",="0.0053"
="",="(8.20)",="(6.42)",="(0.021)",="(0.019)",="(0.016)",="(0.012)",="(0.025)",="(0.018)"

="N",="8519",="8519",="8519",="8519",="8519",="8519",="8519",="8519"
="R-sq",="0.014",="0.038",="0.010",="0.022",="0.014",="0.038",="0.016",="0.042"
="Control Mean",="-249.0",="-249.0",="0.44",="0.44",="-1.45",="-1.45",="0.75",="0.75"
="ToT",="-74.6",="-15.2",="-0.061",="0.020",="-0.15",="-0.036",="-0.17",="0.053"
="p-value",="0.36",="0.81",="0.77",="0.91",="0.34",="0.77",="0.48",="0.77"
="TuT",="44.8",="46.2",="0.12",="0.13",="0.085",="0.087",="0.14",="0.14"
="p-value",="0.0000012",="0.000000053",="0.0000018",="0.00000044",="0.0000016",="0.000000081",="0.000000038",="0.000000012"
="ToT-TuT",="-119.4",="-61.4",="-0.19",="-0.11",="-0.23",="-0.12",="-0.31",="-0.085"
="F p-value",="0.087",="0.19",="0.20",="0.30",="0.081",="0.17",="0.12",="0.33"
="Bootstrap (normal) p-val",="0.095",="0.22",="0.19",="0.31",="0.091",="0.21",="0.12",="0.37"
="Bootstrap (percentile) p-val",="0.076",="0.22",="0.18",="0.32",="0.072",="0.22",="0.11",="0.36"
="RI p-val",="0.11",="0.23",="0.23",="0.34",="0.10",="0.22",="0.14",="0.37"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
