
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="TuT",="24.9***",="20.9**",="15.2",="21.3*",="18.4*",="26.8***",="18.4*",="17.9*",="14.9",="16.3",="358.5***",="331.8**",="163.3",="266.9",="242.5*",="331.3**",="225.9",="229.9",="120.9",="111.6"
="",="(8.31)",="(9.10)",="(11.6)",="(11.4)",="(10.5)",="(8.59)",="(10.3)",="(10.6)",="(9.88)",="(10.1)",="(107.7)",="(130.3)",="(150.0)",="(173.2)",="(143.8)",="(137.2)",="(143.7)",="(148.5)",="(139.0)",="(155.4)"

="N",="6304",="4465",="2948",="2613",="3433",="4625",="3468",="3393",="3677",="3352",="6304",="4465",="2948",="2613",="3433",="4625",="3468",="3393",="3677",="3352"
="R-sq",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
