rf_pred,tau_hat_oobpredictions
.03617004,-.07087634
.03806252,-.10215783
.03884725,-.08167149
.03928069,-.08775946
.03980562,-.09684121
.04030926,-.09146807
.04075442,-.08595185
.04118784,-.08897069
.04171563,-.12206535
.04206089,-.11364994
.04247215,-.11049162
.04298319,-.10622223
.04386036,-.09545864
.04449513,-.08021663
.04591422,-.09861645
.04832909,-.10535396
.0509889,-.12164897
.05448947,-.0973369
.0607866,-.10127003
.0641913,-.08086865
.07310491,-.10033094
.11355858,-.14143226
.11954013,-.18096497
.12416218,-.1612734
.12711827,-.18277661
.1295344,-.16760371
.13191545,-.17526004
.13337923,-.18137892
.13512908,-.18379527
.13670325,-.18556893
.13847172,-.14454752
.1406122,-.19898684
.14205501,-.17787494
.14380393,-.15702767
.14637016,-.1713762
.14809632,-.16924749
.14949427,-.14957522
.15185115,-.15435474
.15355691,-.15654381
.15522553,-.15975822
.15683909,-.15844535
.15867891,-.15856735
.16001874,-.1529456
.16192346,-.1513502
.16325556,-.16438946
.16447061,-.14706948
.1659184,-.15849062
.16717514,-.14369814
.16834378,-.13350313
.16947757,-.15725803
.17091382,-.14554818
.1722166,-.14275637
.17377047,-.15619551
.17562051,-.15477762
.17675984,-.14806277
.17754918,-.14606074
.17901006,-.16215751
.18043295,-.13622774
.18148145,-.14901003
.18286437,-.16560612
.18395399,-.1277152
.18547604,-.13316305
.18710133,-.14585356
.18842114,-.17512388
.18988998,-.13601484
.19132758,-.1335513
.1934068,-.12772019
.19568645,-.157014
.19747203,-.13438697
.19900897,-.13608958
.20138014,-.12548645
.20336703,-.14535363
.20560209,-.12442847
.20792569,-.1890679
.2098819,-.15621573
.21153908,-.16364343
.21308922,-.14263184
.21415612,-.1608349
.21728621,-.16766882
.21920454,-.18228233
.22060132,-.14817523
.2218384,-.15947518
.22503803,-.13399612
.22814903,-.13007031
.22981932,-.13424645
.23217878,-.1306432
.23480965,-.12256878
.23775061,-.11963715
.24046282,-.11890013
.24379301,-.10958326
.24634868,-.1259379
.25110395,-.13371543
.25528225,-.12835515
.25982412,-.1316
.2644541,-.11051322
.26822976,-.09693637
.27312632,-.07997124
.27730282,-.08565075
.28689142,-.11740833
.31267379,-.12237063
