def_c,fee_arms,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,edad,faltas,val_pren_std,genero,masqueprepa,prenda,insample,tau_hat_oob$predictions,tau_hat_oob$variance.estimates
1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47,0,-0.41525912,1,0,78133041,0,-0.044899552489842856,0.010110773431468349
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,-0.22518964,1,0,5522597,1,-0.2703931143407926,0.007041012224684765
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,-0.5707705,1,0,5522598,1,-0.27441893988200716,0.009408046512646723
1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0.2857143,-0.27237317,1,1,42124669,0,-0.19433461966916302,0.005121605292100829
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,74,0,0.40504596,1,1,42123978,1,-0.2564105034953265,0.008937537799046418
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,74,0,0.98216599,1,1,42123979,1,-0.3006790793323861,0.006900577011695102
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,74,0,0.17350678,1,1,42123980,1,-0.24583422733041627,0.008908035296434618
1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,74,0.14285715,0.12326135,1,1,42125569,0,-0.2378937224105554,0.005179213443197654
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,74,0,0.38085529,1,1,42123982,1,-0.2577857640785631,0.008769399794691272
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,74,0,0.1285812,1,1,42123981,1,-0.2368144239736965,0.008595615781257289
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0.42857143,-0.53966826,1,1,5514253,1,-0.12580728022484158,0.009137430305853867
1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0.42857143,-0.48783112,1,1,5514252,1,-0.13116458120246988,0.00496128828069423
1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0.42857143,0.59383696,1,1,5514251,1,-0.26537292799990203,0.0037615206592985758
1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,37,0.42857143,-0.41525912,1,0,80117650,0,-0.141245206464338,0.0024481786717919906
0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43,0,-0.38128665,1,1,5524248,0,-0.02624940020189385,0.004272956213002732
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.14285715,-0.0096511254,1,1,5514144,1,-0.20538580703143908,0.006381183728054018
1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,52,0,-0.61915183,0,1,10462066,0,-0.10990032428113768,0.007114570959884392
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0.6692791,1,1,3591934,1,-0.2655587536506853,0.0020771216472056787
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,-0.19400316,1,1,3595471,1,-0.17739041848668588,0.003338114360111998
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0.5714286,-0.35364023,1,0,5514239,1,-0.16258692197760444,0.002316104115418301
0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0.87375742,1,0,80117937,0,-0.21887557921747336,9.177884108511748e-4
1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,0.71428573,-0.021882573,1,0,78132464,1,-0.18117225385629496,0.00418559993924284
1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49,0,-0.62664908,1,0,78133284,0,-0.11397020543576102,0.009856466242922418
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,45,0.2857143,-0.66407734,1,1,78133121,1,-0.11789131519716942,0.006238005452255285
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0.70440662,1,1,42125021,0,-0.024789294344569016,0.015860108699862714
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,-0.6041308,0,1,3591005,0,-0.09296840626804485,0.004944314886184455
1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,35,0.2857143,-0.58517939,1,1,78134822,0,-0.05679769994835547,0.007318400380557587
0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,35,0.42857143,-0.63701648,1,1,78134259,0,-0.11888726690996652,0.009424431639112567
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,-0.42732227,0,1,3594276,1,-0.12463694947876791,0.007911357212794951
1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.14285715,-0.60475916,1,1,5522964,0,-0.12042680741122061,0.005770650275125438
1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,-0.54601043,1,1,5522963,0,-0.11976280376940014,0.01163150841744781
1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,-0.20258719,1,1,5522811,0,-0.12744477479741775,0.005928992032972722
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0.14285715,-0.6986354,1,1,5522747,1,-0.07079537748228404,0.0039024615925930275
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,0,0.35536999,0,0,10463800,0,-0.16733915926809817,0.0010675243853152513
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72,0.14285715,-0.014401549,1,0,80117247,1,-0.23209381562209166,0.00401372142210861
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,0.2857143,-0.36501375,1,0,80118911,1,-0.1696255181721943,0.007168952477706543
1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48,0.2857143,-0.48841673,0,1,78132608,0,-0.13050071057131937,0.005154614199251483
1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,-0.25342175,1,0,78133307,0,-0.07153488988889668,0.005564576987732059
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,-0.50223994,1,1,3595411,1,-0.0292053311176265,0.003929907668227548
1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0.037535995,1,0,42124894,0,-0.23261941162956434,0.006288594810014542
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64,0.14285715,2.157141,1,1,80118783,0,-0.31098761378147505,0.004344058793646372
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,-0.72341174,1,0,5514273,1,-0.0936476018280674,0.006659712310830385
0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0.2857143,-0.104822,1,1,42124954,1,-0.19516165171587804,0.004811563835897634
1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0.14285715,-0.71591449,1,1,78133514,0,-0.10837329577498031,0.0017840527796750833
1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.53230226,0,1,78132482,1,-0.11866860689797547,0.009154396140938163
1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0.14285715,-0.38761264,1,0,5522954,0,-0.047474292291326096,0.0015520468321304603
0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,59,0,-0.14916186,1,1,78133050,0,-0.15244210172398107,0.008462374852320587
0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,0,-0.20849626,1,1,78133911,0,-0.09781243404047348,0.009275465581045866
1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.14285715,-0.21195203,0,1,3591867,1,-0.15100276657878878,0.0019423386714573256
1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.14285715,-0.39856571,0,1,3591866,1,-0.04985584565228339,0.005492738221226517
1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.14285715,-0.49532834,0,1,3591868,1,-0.07688867866441322,0.002936647400646482
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42,0,-0.52988642,1,1,80117884,1,-0.09431821712364434,0.004687209352926414
1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0.14285715,-0.65083975,1,1,5514183,0,-0.08023089295000659,0.004698568644961534
0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0.14285715,-0.54025388,1,1,5514184,0,-0.02218635740640081,0.003865787271755976
