sum_porcp_c,fee_arms,edad,genero,val_pren_pr,masqueprepa,faltas,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,prenda,insample,rf_pred_fee,rf_pred_nofee,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,tau_hat_oob_full$predictions,tau_hat_oob_full$variance.estimates
0.45586663,1,47,1,1893.9698,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78133041,0,0.6522300517108366,0.6579109900312564,0.041096974526612574,0.004010905150910999,0.046793581948466924,0.004499919500802585
1.2369467,1,61,1,1174.2142,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5522598,1,0.8338323684213057,0.5536221718477314,0.2580481343700289,0.009564004785366457,0.11655362966573597,0.004111778385040506
1.2369428,1,61,1,2773.6711,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5522597,1,0.8312049209449175,0.5337795385306879,0.20592687939324786,0.012287831466381243,0.14893638136286386,0.0015495961970503173
0.64408731,1,50,1,2566.0098,1,0.2857143,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42124669,0,0.7821920670930542,0.5383911099997248,0.17953625558361927,0.009622512728478243,0.08072515676582086,0.0037410519832744944
1.0901419,0,74,1,5580.2012,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,42123982,1,0.9791488020562719,0.7569518112569766,0.22919626272858382,0.005262715883354142,0.1304254747182477,0.002081306168103793
1.090142,0,74,1,5692.1631,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,42123978,1,0.9827252560980752,0.7597788583703486,0.2292721871307017,0.005596183295592628,0.1246048668317784,0.0019088485775589224
1.164832,0,74,1,4620.5269,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,42123980,1,0.9735729592333535,0.7605752951004477,0.2111844089329276,0.002984815958545391,0.11375930888478065,0.009066865124766073
0.44298398,1,74,1,4392.5762,1,0.14285715,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,42125569,0,1.0204690891762762,0.7723642651511198,0.18291607158599832,0.005047197614800857,0.018647562752388862,0.007231935355339667
1.0901434,0,74,1,4412.5977,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,42123981,1,0.9742064169279853,0.753444437119606,0.1997786917440952,0.003411172998710057,0.12179130682423354,0.004359521204055899
1.0901426,0,74,1,8363.2559,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,42123979,1,1.003900276999706,0.7338474548345856,0.2686331031014722,0.004294883131612583,0.13125843228420225,0.0023882171226634794
