eff_cost_loan,fee_arms,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,edad,faltas,val_pren_std,genero,masqueprepa,prenda,insample,tau_hat_oob$predictions,tau_hat_oob$variance.estimates
-1.884438,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47,0,-0.41525912,1,0,78133041,0,0.04239653590951295,4.892100430708534e-4
-1.2369428,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,-0.22518964,1,0,5522597,1,0.17429017107556133,0.001113482896107444
-1.2369466,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,-0.5707705,1,0,5522598,1,0.14925943275970138,0.001483309220993946
-2.0726588,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0.2857143,-0.27237317,1,1,42124669,0,0.12891568021843627,0.0016639108295914671
-1.090142,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,74,0,0.40504596,1,1,42123978,1,0.11204088091551793,0.0015956502761468316
-1.0901425,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,74,0,0.98216599,1,1,42123979,1,0.13098041098479432,0.0026108061992785756
-1.1648319,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,74,0,0.17350678,1,1,42123980,1,0.11534157459782435,0.003614271771675395
-1.8715554,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,74,0.14285715,0.12326135,1,1,42125569,0,0.1868219831246811,0.004098125865693915
-1.0901418,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,74,0,0.38085529,1,1,42123982,1,0.11164753389327625,0.0015641764891592112
-1.0901434,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,74,0,0.1285812,1,1,42123981,1,0.11303466136738832,0.003213160900568399
-1.2705119,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0.42857143,-0.53966826,1,1,5514253,1,0.08496737881809141,0.0015093578761817775
-1.9179957,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0.42857143,-0.48783112,1,1,5514252,1,0.09186201296938823,8.374992419009883e-4
-1.6804355,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0.42857143,0.59383696,1,1,5514251,1,0.19882681328617657,0.0015859778370111122
-1.4285715,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,37,0.42857143,-0.41525912,1,0,80117650,0,0.11367502084846598,0.001257899501618637
-1.2162979,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43,0,-0.38128665,1,1,5524248,0,0.055816655138215536,0.0011295747293719016
-1.0231776,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.14285715,-0.0096511254,1,1,5514144,1,0.1519723873030294,0.0029052818341028077
-1.4285715,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,52,0,-0.61915183,0,1,10462066,0,0.0769618513145839,6.44113190840508e-4
-1.8870052,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0.6692791,1,1,3591934,1,0.16483253271561651,0.004102902825056651
-1.8921523,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,-0.19400316,1,1,3595471,1,0.1334949464602152,0.0013531251226575852
-1.4285715,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0.5714286,-0.35364023,1,0,5514239,1,0.13459919596962425,0.0013943406577871177
-1.1118376,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0.87375742,1,0,80117937,0,0.1064620091650779,8.993961624434907e-4
-1.4285715,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,0.71428573,-0.021882573,1,0,78132464,1,0.15142203869620866,0.00313647438597718
-1.4285715,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49,0,-0.62664908,1,0,78133284,0,0.048576764452371864,5.298782898031039e-4
-1.2630417,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,45,0.2857143,-0.66407734,1,1,78133121,1,0.08832346718022235,0.001856555018138615
-1.1828592,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0.70440662,1,1,42125021,0,0.09830780227943238,0.00180940049230186
-1.1957333,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,-0.6041308,0,1,3591005,0,0.08990866383226462,4.319244079937591e-4
-1.4285715,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,35,0.2857143,-0.58517939,1,1,78134822,0,0.08536276177307264,0.002030929085156471
-1.1519332,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,35,0.42857143,-0.63701648,1,1,78134259,0,0.09444491921755285,0.0013772058407863757
-1.2369387,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,-0.42732227,0,1,3594276,1,0.11341141762804037,0.001789618856557032
-1.6706825,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.14285715,-0.60475916,1,1,5522964,0,0.07049535080975843,0.0014010735728487934
-1.6706682,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,-0.54601043,1,1,5522963,0,0.07576612883836527,0.001812388112790624
-1.4285715,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,-0.20258719,1,1,5522811,0,0.11967010351032083,0.0016573721788721454
-1.2936053,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0.14285715,-0.6986354,1,1,5522747,1,0.06308287593115772,7.047768514622242e-4
-1.2420943,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,0,0.35536999,0,0,10463800,0,0.09224176870087865,0.0013761925123637639
-2.2142136,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72,0.14285715,-0.014401549,1,0,80117247,1,0.19860407428630397,0.004396704334735048
-1.4285715,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,0.2857143,-0.36501375,1,0,80118911,1,0.13177686998052549,0.0015863327063385237
-1.9073522,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48,0.2857143,-0.48841673,0,1,78132608,0,0.10896987892562,0.0015346144896093864
-1.6680892,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,-0.25342175,1,0,78133307,0,0.054242118623993314,9.148282100157032e-4
-1.4285715,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,-0.50223994,1,1,3595411,1,0.07257189784932758,6.566881803270747e-4
-1.9024581,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0.037535995,1,0,42124894,0,0.14995274470040748,0.0026544641601070483
-1.236943,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64,0.14285715,2.157141,1,1,80118783,0,0.20510764991974073,0.003340461325989344
-1.4285715,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,-0.72341174,1,0,5514273,1,0.07947877365222211,4.372093090025214e-4
-1.0847554,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0.2857143,-0.104822,1,1,42124954,1,0.1666366387114072,0.002392999667312349
-1.4285715,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0.14285715,-0.71591449,1,1,78133514,0,0.07273170556175929,7.519613522081803e-4
-1.4285715,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.53230226,0,1,78132482,1,0.10114040932755548,0.0017389914191310051
-1.9162042,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0.14285715,-0.38761264,1,0,5522954,0,0.06514232052120882,0.0013762890572462986
-1.1802843,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,59,0,-0.14916186,1,1,78133050,0,0.0577727564873699,0.003476742223589886
-1.2369416,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,0,-0.20849626,1,1,78133911,0,0.040933300431492986,0.0034146745820678643
-1.4285715,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.14285715,-0.21195203,0,1,3591867,1,0.14797333689957334,5.696680740846697e-4
-1.4285715,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.14285715,-0.39856571,0,1,3591866,1,0.10196343276132146,0.001916703843779828
-1.4285715,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.14285715,-0.49532834,0,1,3591868,1,0.1082557786003655,0.0011875927228146392
-1.2343607,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42,0,-0.52988642,1,1,80117884,1,0.06306841732211163,8.604112421287423e-4
-1.4285715,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0.14285715,-0.65083975,1,1,5514183,0,0.06085001382802964,6.060729234957261e-4
-1.2593274,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0.14285715,-0.54025388,1,1,5514184,0,0.04060333246733625,7.215557545520436e-4
-1.0669599,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,24,0.14285715,-0.24189927,0,1,10462474,0,0.08279791816734713,0.0016159190606231657
-1.4285715,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37,0,-0.18430561,0,1,78136290,0,0.06873104727749163,0.001605356050883886
-1.2395182,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45,0,0.023628585,1,0,80118770,0,0.08160526541280115,0.002069281382431124
-1.6706657,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,1,-0.7521683,1,1,3591006,0,0.10037849302462207,0.002262075398710174
-1.4285715,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.33333334,-0.60011268,1,1,42125660,0,0.09890749511728103,4.3069554240871563e-4
-1.4285715,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0.14285715,-0.77811903,1,1,78133652,0,0.08297460556741165,6.16877970220679e-4
-1.2240641,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0.14285715,0.095806524,1,0,3592101,0,0.1865127639913083,0.00498668810138245
-1.4285715,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46,0,-0.4313404,1,0,80118618,1,0.08018782919780208,8.175234084113475e-4
-1.110744,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0.14285715,-0.53275663,1,0,78133294,0,0.05816501720338276,2.878356570526782e-4
-1.4285715,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,38,0,-0.52584499,1,0,78136109,0,0.036606109674200235,0.0014593432893453058
-1.1802807,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,60,0,-0.063352287,1,0,42124383,0,0.10649018353407252,7.705482381000575e-4
-1.1545289,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,0,0.22404926,1,1,80117915,0,0.10975314423369863,0.00278429504631576
-2.6655135,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0.2857143,0.39281446,1,1,3594093,1,0.2076162421291326,0.004274332170808046
-2.6655142,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0.2857143,0.2269356,1,1,3594094,1,0.20247015533501844,0.0039110599158678535
-1.9409436,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.66666669,-0.68135637,1,1,42124022,0,0.10088060141932718,0.001317741624902726
-1.4285715,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,0,-0.56444448,1,1,78134579,0,0.07898799476167173,8.41433725095412e-4
-1.2369437,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,1.5954359,0,0,3595323,0,0.14337986496956678,0.003118795853057584
-1.1073914,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0.14285715,-0.50223994,1,1,42124589,0,0.050286613747058846,3.6794555705976133e-4
-1.6655146,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.14285715,-0.43657961,1,0,5514473,0,0.06339130376547777,6.97119514438081e-4
-1.6655145,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.14285715,0.23039143,1,0,5514472,0,0.12119056440078198,2.8018269779333626e-4
-1.2343636,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,-0.63988668,1,1,3595237,1,0.11104405480274891,0.001230418206118808
-1.2716012,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.14285715,-0.30121744,0,1,42125786,1,0.08788184033469813,0.0019356392598637617
-1.473911,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,-0.58517939,0,0,78133246,1,0.0735610314694049,0.002469714571867195
-1.4285715,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.30987504,1,1,78133302,0,0.050776817358827615,0.0024310874688389175
-1.9594676,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,39,0,-0.10827782,1,1,42124998,1,0.05685528459803185,0.0024965321518852688
-1.4285715,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0.14285715,-0.43877992,1,0,3594345,1,0.07929999458311127,0.0010264963971268882
-1.4285715,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,-0.64047229,0,0,3586696,0,0.08179792086327912,0.001259139111414669
-1.1501489,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,-0.57826775,1,1,42124869,0,0.07146226520704897,8.011056957589123e-4
-1.0592375,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,-0.65886146,1,0,42123588,0,0.094435662599842915,0.0014865124895826897
-1.1777084,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61,0.14285715,0.2610026,1,0,3594348,1,0.19068696667579998,0.0028748490432448743
-1.2369418,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,0,-0.18531172,1,0,78134958,0,0.12025561192798111,0.0016965628747213825
-1.1004457,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,81,0,-0.54312402,1,0,78134815,0,0.06014326421587964,0.0028079052250316555
-1.9375169,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,0.14285715,0.37040713,0,0,10462099,0,0.12557856758691113,0.0020141847123244824
-1.0154524,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,51,0,2.4893293,1,0,78134951,0,0.11954579481765193,0.0025667602722551273
-1.4713125,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,50,0.14285715,-0.29834726,1,1,80117111,0,0.0742769100333931,0.0013785535004915803
-1.4285715,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37,0.2857143,-0.22164965,0,1,78134335,1,0.1337563102376479,0.00205265576300764
-1.3510649,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,0.14285715,-0.13879445,1,0,10462438,0,0.10427718250221164,0.0013174191815159522
-1.4285715,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,0,-0.36501375,0,1,80117948,0,0.06062631434169203,6.352557798091157e-4
-1.211659,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,39,1,-0.52584499,0,0,42123800,1,0.10059574863492639,0.00111124378451929
-1.2152202,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,39,1,-0.21827805,0,0,42123799,1,0.12702874803330627,0.0017093245391776924
-1.0997646,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,63,0.14285715,3.9110193,1,1,42124609,0,0.1870616465540004,0.003937316761827254
-1.2369573,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,0,-0.66753316,0,0,80118817,0,0.07741867766586062,3.1342790391061744e-4
-1.0489333,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0.14285715,0.25862351,1,1,78134238,0,0.09672481800142461,0.0017211046860361571
-1.0875654,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0,2.7813478,0,1,10463611,0,0.1273602285870709,0.0022650070915310166
-1.018029,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0,1.8379117,0,1,10463612,0,0.12823255353089374,0.002500743843795482
-2.0713215,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,60,0,-0.58863521,1,0,80117050,0,0.1105492951042005,0.0015767575708430857
-1.6990924,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.2857143,0.00230808,1,1,5524168,0,0.18926562692278265,0.0020742874269961053
-1.6990885,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.2857143,0.57597232,1,1,5524167,0,0.2143813021960816,0.0018271735936228606
-1.9706862,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.2857143,-0.10827782,1,1,5524169,0,0.18762752882659037,0.002188791112260332
-1.4285715,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68,0,-0.31158489,1,0,78133298,0,0.06160588412463551,0.003541637996768799
-1.8998815,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.2857143,0.32599312,1,1,3595417,1,0.2101968182833498,0.0034788548591384687
-1.8998829,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.2857143,0.71995533,1,1,3595416,1,0.22754005310805575,0.002532971924973835
-1.4285715,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,-0.438252,1,1,5522692,1,0.07059683297744324,0.0014590677787783295
-1.4285715,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,0.2857143,-0.38819829,0,1,3592119,1,0.12716202513947958,0.0011987319397993134
-1.4285715,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,0.2857143,-0.45040283,0,1,3592117,1,0.1225441551051863,0.0018028315998648175
-1.4285715,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,0.2857143,-0.48841673,0,1,3592118,1,0.12050872109683615,0.002038657594991516
-1.23436,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56,1,-0.56790036,1,1,3586634,1,0.11622930257732902,0.0021882572183406774
-1.2343636,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56,1,-0.47459349,1,1,3586635,1,0.11223334684166425,0.0018095999650780943
-1.2369452,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,56,0.14285715,-0.43817136,1,1,10462663,0,0.04055019865889562,3.4935639997262294e-4
-1.0051599,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,-0.74356091,1,0,3594124,1,0.08728012818343349,5.017943268377622e-4
-1.9024111,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0.14285715,-0.37724522,0,1,78136307,0,0.07985462485090092,0.0013100047249652192
-1.2507272,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0.2857143,-0.58863521,1,0,42124966,0,0.13247315248605543,0.0018010133903237175
-1.2369428,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0.2857143,0.65200007,1,1,5514230,1,0.2242842974011442,0.0016022530781498899
-1.2369442,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0.2857143,1.429557,1,1,5514231,1,0.23247427899412182,0.002116992990187903
-1.1802807,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,-0.23614272,0,1,3595825,0,0.07076236284758264,0.0010471383166657559
-1.4285715,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,-0.60880059,0,1,42124334,0,0.07655551179870144,8.005253700653794e-4
