fc_admin_disc,fee_arms,edad,genero,val_pren_pr,masqueprepa,faltas,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,prenda,insample,rf_pred_fee,rf_pred_nofee,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,tau_hat_oob_full$predictions,tau_hat_oob_full$variance.estimates
2121.8889,0,47,1,1894.0081,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78133041,0,1455.7108515700309,1372.554783082943,18.432325932933587,5993.272949789391,-55.549042592466506,731.208696379982
2227.4863,1,61,1,2773.062,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5522597,1,2150.458278518903,2372.9533154954515,-233.11293275752962,4204.836533775584,-205.27063357229335,12200.507492577039
954.63928,1,61,1,1174.782,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5522598,1,788.0701296471332,888.8434256020506,-111.68914060548762,5820.139893955217,-131.81193495973565,6047.682733289351
2410.2856,0,50,1,2567.1023,1,0.2857143,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42124669,0,2025.5921949978806,2004.363906692291,-97.71545346426014,4304.043967964504,-141.7508931296896,5431.748677912742
3534.9387,0,74,1,5688.9697,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,42123978,1,4887.07986761666,4576.405905105568,-176.5262642380779,38669.76155289345,-271.0156286943041,22148.47226659362
3456.8801,0,74,1,5577.0898,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,42123982,1,4732.71345869998,4492.4501480679355,-174.0794914191884,39504.88911956318,-288.7936997204724,41995.7738089946
3002.4675,0,74,1,4618.1221,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,42123980,1,3774.80470570472,3963.9793378725567,-209.7281158766481,42523.48779600962,-343.44776019771354,26095.225495551753
4404.9434,0,74,1,4387.313,1,0.14285715,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,42125569,0,3565.535083896368,3627.906309878589,-371.673302121734,40311.05791050606,-341.4201141473822,12770.651240257115
5397.1963,0,74,1,8358.0977,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,42123979,1,7057.84520354359,7352.573975601488,-638.9053636836619,75544.61195937872,-735.2859614043401,22156.42471586724
2642.8438,0,74,1,4410.3457,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,42123981,1,3541.3712241675394,3591.0442052075196,-184.66674053272132,37719.24887893934,-319.957753207112,22419.317007718542
