NombrePignorante,prenda,suc_x_dia,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,pro_5,eff_cost_loan,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
-921820905645e7,5521308,107,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1983111,0.009276087842837188,2.089422541464115e-4,0.4354424844077586
-921795913329e7,42125560,254,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-1.9288812,0.010380810624185909,1.80502899727105e-4,0.5460602223771364
-920924936431e7,42124669,217,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.0726588,0.00898305132373888,2.045300440133175e-4,0.43284358334798395
-920046646976e7,42123978,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.090142,0.010183675002199273,1.6703089275847896e-4,0.43214259756414575
-920046646976e7,42123981,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0901434,0.010183675002199273,1.6703089275847896e-4,0.43214259756414575
-920046646976e7,42123982,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0901418,0.010183675002199273,1.6703089275847896e-4,0.43214259756414575
-920046646976e7,42123980,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.1648319,0.010183675002199273,1.6703089275847896e-4,0.43214259756414575
-920046646976e7,42123979,203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0901425,0.010183675002199273,1.6703089275847896e-4,0.43214259756414575
-919254357393e7,10463882,536,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.2369599,0.009475211369657137,1.9639708162001826e-4,0.5571333846385418
-919139368339e7,80117650,402,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-1.4285715,0.01076542387765241,1.6372051470803825e-4,0.5126535914474082
-919139368339e7,80118883,434,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,-1.4285715,0.01045617850565694,2.2055209475281041e-4,0.6419826350311163
-918983174523e7,10463572,525,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.4285715,0.009050003040517243,1.9431674005928982e-4,0.6451895954093744
-918733416171e7,78133242,299,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,-1.1390748,0.009010539915289701,2.9435954682263644e-4,0.5874678013596827
-917719051673e7,78133232,299,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4285715,0.00889155007505674,2.443368548971325e-4,0.5636685582898149
-917467215167e7,10462066,471,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-1.4285715,0.010756833274244305,1.4588407370214054e-4,0.33396481632416686
-917467215167e7,10462721,481,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,-1.4713068,0.010509614685942708,2.070395621151678e-4,0.5837501190058995
-917467215167e7,10463546,497,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,-1.4285715,0.010787371812295991,1.4559153303709294e-4,0.4462770706849678
-916988485595e7,80117265,389,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,-1.9110745,0.010551730602392003,2.0971430615662924e-4,0.6411846965177491
-916546731528e7,3591934,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8870052,0.009265948343503309,2.081989559285411e-4,0.4439680590232916
-916516169086e7,3595471,21,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8921523,0.008939473778075756,2.1268441833653093e-4,0.5613257900175076
-9.1582848411599995e+018,78133284,300,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.4285715,0.008429169017560622,2.6913688951950553e-4,0.6571237529724607
-915634713117e7,78133121,296,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.2630417,0.00914507139740556,1.29726832305872e-4,0.682948638165914
-915634713117e7,78134163,321,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,-1.1931558,0.009623444786950758,1.496864445862654e-4,0.40799601866811475
-914972513898e7,10463033,497,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-1.1883998,0.009530165237166034,2.2574766743094582e-4,0.44127499324270664
-914729183109e7,42124415,228,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1287999,0.009040239123989775,1.9639871119417037e-4,0.4072298299979735
-913936589531e7,42125021,213,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.1828592,0.00897915112039752,2.028195708943593e-4,0.39001116258772267
-910705168816e7,5522747,101,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2936053,0.009276087842837188,2.089422541464115e-4,0.4304655503018609
-910323975224e7,10463800,530,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.2420943,0.009050003040517243,1.9431674005928982e-4,0.5323124512299036
-909453318405e7,78136115,352,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.9024569,0.008429169017560622,2.6913688951950553e-4,0.6469525054785594
-909453318405e7,78136110,352,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.9024578,0.008429169017560622,2.6913688951950553e-4,0.6469525054785594
-909453318405e7,78136114,352,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.9024615,0.008429169017560622,2.6913688951950553e-4,0.6469525054785594
-909453318405e7,78136113,352,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.902462,0.008429169017560622,2.6913688951950553e-4,0.6469525054785594
