fc_trans,NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,prestamo,pr_recup,edad,visit_number,num_arms,faltas,dummy_prenda_tipo1,dummy_prenda_tipo2,dummy_prenda_tipo3,dummy_prenda_tipo4,dummy_prenda_tipo5,dummy_edo_civil1,dummy_edo_civil2,dummy_edo_civil3,dummy_edo_civil4,dummy_choose_same1,dummy_choose_same2,dummy_trabajo1,dummy_trabajo2,dummy_trabajo3,dummy_trabajo4,dummy_trabajo5,dummy_trabajo6,dummy_trabajo7,dummy_trabajo8,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,renta,comida,medicina,luz,gas,telefono,agua,masqueprepa,estresado_seguido,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,dummy_choose_same3,dummy_trabajo9,fee,sum_porcp_c,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
2277.2214,-922258806166e7,78133041,0,1,0,0,0,0,0,0,0,1,0,0,1200,100,47,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0.45586663,0.05622558878844244,0.0014656181983248046,0.41474291359152443
2655.2744,-920924936431e7,42124669,0,0,0,1,0,0,0,0,1,0,0,0,1260,100,50,1,1,0.2857143,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0.64408731,0.07460697629763237,0.0020869557755995825,0.3477890407752064
3412.0371,-920046646976e7,42123982,0,1,0,0,0,0,0,0,1,0,0,0,3100,100,74,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1.0901419,0.08704479903751657,0.0030354147996757234,0.30396078718262026
5308.8872,-920046646976e7,42123979,0,1,0,0,0,0,0,0,1,0,0,0,4840,100,74,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1.0901426,0.10307379607602994,0.0014337691916267137,0.34599569343621
2616.2371,-920046646976e7,42123981,0,1,0,0,0,0,0,0,1,0,0,0,2370,100,74,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1.0901434,0.07761203454839473,0.006357329440567143,0.30869451348509935
3488.3472,-920046646976e7,42123978,0,1,0,0,0,0,0,0,1,0,0,0,3170,100,74,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1.090142,0.08646104318535885,0.0036250412395531176,0.30684578527893064
2977.2742,-920046646976e7,42123980,0,1,0,0,0,0,0,0,1,0,0,0,2500,100,74,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1.164832,0.057213950584439684,0.004224829150409488,0.30258502018240663
6927.9395,-919802276126e7,5514251,0,0,0,1,0,0,0,1,0,0,0,0,4120,80,47,1,1,0.42857143,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0.25186411,0.07850194062261201,0.0014721554407132603,0.6923269588953239
1071.7749,-919802276126e7,5514253,0,0,0,1,0,0,0,1,0,0,0,0,840,80,47,1,1,0.42857143,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1.2705119,0.10657344838171189,0.0028226063907879056,0.738300942100729
1907.9055,-919802276126e7,5514252,0,0,0,1,0,0,0,1,0,0,0,0,990,80,47,1,1,0.42857143,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0.48942423,0.1034976134996409,0.0018594634840729913,0.7212645002840745
