fc_survey_disc,fc_admin,fc_survey,NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,prestamo,pr_recup,edad,visit_number,num_arms,faltas,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,renta,comida,medicina,luz,gas,telefono,agua,masqueprepa,estresado_seguido,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,pro_5,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
3134.7478,2611.55,4591.5498,-920924936431e7,42124669,0,0,0,1,0,0,0,0,1,0,0,0,1260,100,50,1,1,0.2857143,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,34.140291323261415,4522.121536288597,0.5128309130247879
2536.4248,2912.0801,2912.0801,-920046646976e7,42123980,0,1,0,0,0,0,0,0,1,0,0,0,2500,100,74,1,2,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,15.933875479709034,708.044903998813,0.39910048707477014
3200.6689,3455.75,3455.75,-920046646976e7,42123978,0,1,0,0,0,0,0,0,1,0,0,0,3170,100,74,1,2,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,-17.291928319221917,1462.430439322461,0.3774773650867706
4886.8286,5276.29,5276.29,-920046646976e7,42123979,0,1,0,0,0,0,0,0,1,0,0,0,4840,100,74,1,2,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,-198.45892848548323,72794.84920717923,0.38451572261430567
3129.9917,3379.4399,3379.4399,-920046646976e7,42123982,0,1,0,0,0,0,0,0,1,0,0,0,3100,100,74,1,2,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,-5.52858587643377,1971.1068573869663,0.397076875396769
2392.9324,2583.6399,2583.6399,-920046646976e7,42123981,0,1,0,0,0,0,0,0,1,0,0,0,2370,100,74,1,2,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,13.87003799164454,1115.474910123504,0.401028532369138
745.03064,871.42859,950.50757,-917467215167e7,10462066,0,0,0,0,1,0,0,0,0,0,0,1,610,100,52,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,-11.760443673186037,789.3584193723603,0.4438422981172165
803.5224,2573.3271,1130.47,-916516169086e7,3595471,0,0,0,0,0,1,1,0,0,0,0,0,1360,100,48,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,-10.515640969850947,842.999242936614,0.4552580425388622
480.59003,606.26001,606.26001,-915634713117e7,78133121,0,0,0,1,0,0,0,0,0,1,0,0,480,100,45,1,2,0.2857143,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,-11.759092845651931,213.27119429051405,0.5359746292612908
4020.2598,4707.7798,4707.7798,-913936589531e7,42125021,0,0,0,0,0,1,0,0,1,0,0,0,3980,100,22,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,-113.03222055216696,4418.111482803057,0.521949622767642
