nombrepignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,prestamo,pr_recup,edad,visit_number,num_arms,faltas,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,masqueprepa,estresado_seguido,oc,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,tau_hat_oobpredictions,insample,pago_frec_vol_fee
-8.02124024141e+18,78134291,0,0,1,0,0,0,0,0,1,0,2680,100,50,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,-.078653112,0,
7.54438548994e+18,3592364,0,0,1,0,0,1,0,0,0,0,590,100,26,3,3,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,-.086308002,0,
4.40605693847e+17,5521309,0,0,0,0,1,0,1,0,0,0,3460,100,57,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,-.19127555,0,
-2.97938892982e+18,42125577,1,0,0,0,0,0,0,1,0,0,1680,100,27,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,,1,0
8.73716664685e+18,78133257,1,0,0,0,0,0,0,0,1,0,1030,100,55,1,2,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,-.029342046,0,
-3.80361874229e+18,3592194,0,0,0,0,1,1,0,0,0,0,2100,100,50,1,1,.14285715,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,,1,0
-4.86084752801e+18,42122458,0,0,0,0,1,0,0,1,0,0,1100,100,63,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,-.14114517,0,
1.72355209478e+18,10462503,0,0,0,0,1,0,0,0,0,0,1500,90,31,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,-.1331501,0,
-1.88414038838e+18,78132820,0,1,0,0,0,0,0,0,1,0,1100,70,43,1,1,.42857143,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,,1,0
-2.07865072731e+18,80117883,0,0,0,0,0,0,0,0,0,1,1220,100,51,1,1,.5714286,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,-.14733697,0,
1.86822043673e+18,3592137,0,0,1,0,0,1,0,0,0,0,1350,20,45,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,-.16601928,0,
-7.59168403133e+17,42125700,0,1,0,0,0,0,0,1,0,0,2920,100,40,1,1,.42857143,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,,1,1
-3.52618759043e+18,3591892,0,0,0,1,0,1,0,0,0,0,3340,100,56,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,-.15473753,0,
4.35560551962e+18,42122440,0,0,0,0,1,0,0,1,0,0,4690,100,52,1,2,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,-.17576224,0,
1.95941659681e+18,42125230,0,1,0,0,0,0,0,1,0,0,600,100,26,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,,1,1
-6.66444631600e+18,78134692,0,0,1,0,0,0,0,0,1,0,840,80,64,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,,1,0
7.19659710787e+17,5514330,1,0,0,0,0,0,1,0,0,0,550,100,38,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,,1,0
-1.90807322613e+18,5521321,0,0,0,0,1,0,1,0,0,0,1930,100,44,1,1,.2857143,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,-.24698032,0,
1.95941659681e+18,42125229,0,1,0,0,0,0,0,1,0,0,770,100,26,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,,1,1
-5.62178701110e+18,3595833,0,0,0,1,0,1,0,0,0,0,2820,100,21,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,,1,1
-8.02124024141e+18,78134292,0,0,1,0,0,0,0,0,1,0,1690,100,50,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,-.080832191,0,
-6.85632813028e+18,5523018,0,1,0,0,0,0,1,0,0,0,1090,100,34,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,,1,0
-8.02326196355e+18,5520101,0,0,0,1,0,0,1,0,0,0,380,90,22,1,2,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,-.094538286,0,
1.26013108119e+18,5523031,0,0,1,0,0,0,1,0,0,0,4230,50,31,1,1,.2857143,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,-.18356809,0,
-6.97634592761e+18,80116938,0,0,0,0,1,0,0,0,0,1,1250,100,37,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,,1,0
-1.74951621921e+18,78136148,0,0,1,0,0,0,0,0,1,0,7190,40,21,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,-.084255472,0,
-1.12106501281e+18,42125055,0,0,0,0,0,0,0,1,0,0,740,100,53,1,1,.42857143,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,,1,0
-8.29092383024e+17,42125335,1,0,0,0,0,0,0,1,0,0,2000,80,28,1,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,-.1109051,0,
-1.65010166975e+18,78133930,0,0,0,0,1,0,0,0,1,0,3540,70,21,1,1,.14285715,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,-.1272611,0,
5.25804006946e+18,78131749,0,1,0,0,0,0,0,0,1,0,1500,100,35,1,1,.2857143,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,,1,0
-1.25703288876e+18,80116821,0,1,0,0,0,0,0,0,0,1,1970,100,43,1,1,.5714286,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,,1,0
5.50467087903e+18,78134504,0,0,1,0,0,0,0,0,1,0,2880,100,33,1,1,.42857143,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,,1,0
-8.54678362188e+18,42123804,0,0,1,0,0,0,0,1,0,0,5040,100,53,1,1,.14285715,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,-.21004009,0,
-2.85629382431e+18,80117069,0,0,0,1,0,0,0,0,0,1,2200,80,40,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,-.14203393,0,
-4.15163812903e+18,80117218,0,0,1,0,0,0,0,0,0,1,740,90,41,1,1,.14285715,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,-.11562496,0,
2.45758153739e+18,10463983,0,0,1,0,0,0,0,0,0,0,1040,80,27,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,-.10854398,0,
9.13654632907e+18,5514443,0,0,0,0,1,0,1,0,0,0,1610,100,65,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,-.16817339,0,
7.97905279480e+18,80118777,0,0,1,0,0,0,0,0,0,1,660,100,35,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,,1,0
1.35601572282e+18,78134698,0,0,1,0,0,0,0,0,1,0,9480,100,25,2,2,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,,1,0
-1.44718370383e+17,42124267,0,0,0,0,1,0,0,1,0,0,1050,100,47,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,-.14838658,0,
-6.52643096280e+18,3595962,0,0,0,0,0,1,0,0,0,0,3390,100,56,2,2,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,-.15680549,0,
3.98128806574e+18,3595393,0,0,1,0,0,1,0,0,0,0,580,50,30,1,1,.85714287,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,-.14101076,0,
-3.08500721848e+18,42125106,0,0,1,0,0,0,0,1,0,0,830,90,58,1,1,.14285715,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,-.16259477,0,
-1.91654462738e+18,3594340,0,0,1,0,0,1,0,0,0,0,2000,100,45,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,-.1280141,0,
8.15133313867e+18,42125222,0,1,0,0,0,0,0,1,0,0,1700,80,56,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,,1,0
8.79300709364e+18,3594083,0,0,0,1,0,1,0,0,0,0,940,100,55,1,1,.14285715,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,-.13278462,0,
2.17834926390e+18,3595960,0,0,0,0,0,1,0,0,0,0,1130,100,19,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,-.1057778,0,
8.51405748066e+18,3595425,0,0,1,0,0,1,0,0,0,0,1140,100,38,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,-.068845317,0,
1.59001113729e+18,5520276,0,0,0,0,1,0,1,0,0,0,1100,50,62,1,2,.85714287,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,-.24825923,0,
1.21525657072e+18,3591028,0,0,0,0,0,1,0,0,0,0,400,100,38,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,-.14541224,0,
-6.93622653622e+18,80117888,0,0,0,0,0,0,0,0,0,1,1500,100,55,1,1,.42857143,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,-.15060532,0,
-5.10070299587e+18,42123995,0,1,0,0,0,0,0,1,0,0,2750,80,39,1,1,.14285715,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,-.15454467,0,
-6.42472980751e+18,3591858,0,1,0,0,0,1,0,0,0,0,300,80,56,1,1,.85714287,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,-.13886036,0,
-7.02996763928e+18,80117722,1,0,0,0,0,0,0,0,0,1,1550,80,43,1,2,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,-.14856322,0,
1.70345522334e+18,42126040,0,0,0,1,0,0,0,1,0,0,2180,90,59,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,-.18270627,0,
-1.60211083117e+18,5522624,0,0,0,0,0,0,1,0,0,0,3290,100,30,1,1,.14285715,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,,1,0
-5.59411167503e+18,78134023,0,1,0,0,0,0,0,0,1,0,35100,100,35,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,-.096300423,0,
7.42276021661e+18,78134489,0,0,1,0,0,0,0,0,1,0,1220,100,25,1,1,.14285715,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,,1,0
-1.60211083117e+18,5522625,0,0,0,0,0,0,1,0,0,0,1020,100,30,1,1,.14285715,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,,1,0
6.04437413505e+18,42125120,0,0,1,0,0,0,0,1,0,0,2800,100,44,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,-.13238266,0,
-1.27655350974e+17,3592154,0,0,1,0,0,1,0,0,0,0,1640,100,55,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,-.15157545,0,
-4.97660457067e+18,78134804,0,0,0,0,0,0,0,0,1,0,2165,100,32,1,1,.2857143,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,-.1053797,0,
6.13833249379e+18,5522707,0,0,1,0,0,0,1,0,0,0,1360,100,47,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,-.17076568,0,
-8.20745823235e+18,80116850,0,0,1,0,0,0,0,0,0,1,2920,100,39,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,-.12630045,0,
7.04754763971e+18,42125993,0,1,0,0,0,0,0,1,0,0,9230,100,51,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,,1,0
3.54488425110e+18,80116780,1,0,0,0,0,0,0,0,0,1,1360,50,23,1,1,.42857143,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-.1678293,0,
-6.11094419655e+18,80118348,0,0,0,0,1,0,0,0,0,1,1390,100,61,2,2,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,-.15813465,0,
5.94695689716e+18,5514120,0,0,0,1,0,0,1,0,0,0,400,50,67,1,1,.85714287,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,-.2390251,0,
-2.40312851782e+18,42125769,0,0,0,1,0,0,0,1,0,0,3890,100,45,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,,1,0
-7.74724580449e+18,78134360,0,0,0,0,1,0,0,0,1,0,1460,50,44,1,4,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,-.10538514,0,
-7.83976649595e+18,5514311,1,0,0,0,0,0,1,0,0,0,2590,80,43,1,1,.2857143,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,,1,0
-7.62369554100e+18,78134347,0,0,0,1,0,0,0,0,1,0,4480,100,58,2,2,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,-.11210248,0,
-5.41967289704e+17,5522730,0,0,0,1,0,0,1,0,0,0,870,80,47,1,1,.42857143,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,-.21461557,0,
1.88157042638e+18,10462910,0,1,0,0,0,0,0,0,0,0,520,100,26,1,1,.2857143,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,,1,1
5.91670133412e+18,10463812,1,0,0,0,0,0,0,0,0,0,1800,100,32,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,-.14483322,0,
8.91577593114e+18,78133546,0,0,0,0,0,0,0,0,1,0,1280,100,53,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,,1,0
7.39856483095e+18,78136433,0,0,0,0,0,0,0,0,1,0,1390,30,21,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,-.11073945,0,
6.73164891760e+18,80117339,1,0,0,0,0,0,0,0,0,1,1200,90,72,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,-.12985146,0,
-2.79371696609e+18,78133710,0,0,0,1,0,0,0,0,1,0,440,100,29,1,1,.14285715,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,-.053144787,0,
1.88371209981e+18,78134431,1,0,0,0,0,0,0,0,1,0,630,75,30,2,2,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,-.061088156,0,
2.58604417457e+18,42125784,0,0,0,0,1,0,0,1,0,0,1540,100,30,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,-.14680912,0,
1.39330665877e+18,3594498,0,0,0,0,0,1,0,0,0,0,10140,100,36,1,1,.14285715,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,-.13434473,0,
-8.41071628145e+18,3594273,0,0,0,0,0,1,0,0,0,0,22190,100,54,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,,1,0
2.24130039356e+18,80116835,0,1,0,0,0,0,0,0,0,1,1240,100,61,1,2,.85714287,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,,1,0
-5.21795001516e+17,80117184,0,1,0,0,0,0,0,0,0,1,7080,100,57,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,-.14854234,0,
7.04754763971e+18,42125995,0,1,0,0,0,0,0,1,0,0,6610,100,51,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,,1,0
-5.18933869966e+18,10463542,0,0,0,0,0,0,0,0,0,0,570,90,30,1,1,.14285715,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,-.065196514,0,
7.05097616218e+18,10463989,0,0,0,1,0,0,0,0,0,0,1860,100,40,1,1,.14285715,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,-.11610191,0,
4.73035890391e+18,10462416,0,0,1,0,0,0,0,0,0,0,2190,100,35,1,1,.42857143,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,-.11415461,0,
1.61230257482e+18,42123520,0,0,0,0,0,0,0,1,0,0,3000,100,58,1,1,.5714286,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,-.19925585,0,
-8.19504271462e+18,3591920,0,0,0,1,0,1,0,0,0,0,2800,100,41,2,2,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,-.10420778,0,
-3.88300927512e+18,42126539,0,0,0,1,0,0,0,1,0,0,1720,100,40,1,1,.2857143,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,-.18429238,0,
