nombrepignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,prestamo,pr_recup,edad,visit_number,num_arms,faltas,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,masqueprepa,estresado_seguido,oc,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,tau_hat_oobpredictions,insample,pago_frec_vol_promise
4.77690249439e+18,3590995,0,0,1,0,0,1,0,0,0,0,300,100,28,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,-39.930138,0,
1.90299113535e+18,10462406,0,1,0,0,0,0,0,0,0,0,4830,100,55,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,,1,0
6.49124640781e+18,5522688,0,0,1,0,0,0,1,0,0,0,1500,100,53,1,3,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,-120.17827,0,
4.31350238023e+17,78136283,1,0,0,0,0,0,0,0,1,0,3020,100,45,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,,1,0
9.05510873287e+18,10463077,0,0,0,1,0,0,0,0,0,0,3840,100,37,2,3,.14285715,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,-180.74461,0,
4.81837257659e+18,80118517,0,0,0,0,0,0,0,0,0,1,1300,70,30,1,1,.14285715,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,-91.760574,0,
-3.94352389673e+18,10463956,0,0,0,0,0,0,0,0,0,0,3760,90,49,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,,1,1
6.16111214044e+18,10463457,0,0,0,1,0,0,0,0,0,0,3280,100,48,2,3,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,,1,1
-2.75220761813e+18,80117717,1,0,0,0,0,0,0,0,0,1,3100,100,43,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,77.406319,0,
-1.33428582533e+18,3594049,0,0,1,0,0,1,0,0,0,0,1750,100,58,1,1,.5714286,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,-176.9321,0,
3.74052038085e+18,5520261,0,0,0,0,1,0,1,0,0,0,1720,100,31,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,-135.77457,0,
-7.30274965790e+18,3594117,0,0,0,0,1,1,0,0,0,0,1620,100,41,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,-93.35939,0,
7.68691254186e+18,10463893,0,1,0,0,0,0,0,0,0,0,350,100,46,2,2,.2857143,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,-102.32501,0,
-5.34910489079e+18,5514348,0,1,0,0,0,0,1,0,0,0,1140,100,50,2,3,.42857143,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,,1,0
-2.39133418337e+18,5514284,0,0,0,0,1,0,1,0,0,0,2350,80,43,1,2,.2857143,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,-204.51707,0,
9.05510873287e+18,10463079,0,0,0,1,0,0,0,0,0,0,1680,100,37,2,3,.14285715,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,-54.672588,0,
4.32874127019e+18,3591952,0,0,0,0,1,1,0,0,0,0,3150,80,39,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,16.245235,0,
-5.56115628137e+17,78133698,0,0,0,1,0,0,0,0,1,0,890,100,33,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,-42.458519,0,
-7.39863003457e+18,78134290,0,0,1,0,0,0,0,0,1,0,1460,70,22,2,2,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,-69.581924,0,
6.23065786920e+18,3594062,0,0,1,0,0,1,0,0,0,0,1440,100,52,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,-66.442421,0,
-3.28406318977e+18,78133615,0,1,0,0,0,0,0,0,1,0,2000,100,39,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,,1,0
6.31292658892e+18,3594040,0,1,0,0,0,1,0,0,0,0,540,100,76,1,1,.14285715,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,-35.813023,0,
4.56519180839e+18,42124329,1,0,0,0,0,0,0,1,0,0,210,90,33,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,,1,1
8.34155744982e+18,10462812,1,0,0,0,0,0,0,0,0,0,2120,100,39,1,2,.14285715,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,,1,0
5.94695689716e+18,5514105,0,0,0,1,0,0,1,0,0,0,330,50,67,1,1,.85714287,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,-131.79747,0,
-7.47377834851e+18,80117729,1,0,0,0,0,0,0,0,0,1,330,90,47,1,1,.14285715,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,-58.129284,0,
-2.07425038361e+18,3591801,1,0,0,0,0,1,0,0,0,0,580,100,73,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,-86.469604,0,
6.96333453830e+18,78134575,0,0,0,0,0,0,0,0,1,0,300,100,50,2,2,.42857143,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,,1,0
-7.03436866971e+18,5521174,0,0,0,0,0,0,1,0,0,0,1440,100,27,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,-91.737381,0,
-2.68764219706e+18,80117439,0,0,0,1,0,0,0,0,0,1,200,90,36,1,2,.71428573,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,,1,0
-3.61999362735e+18,80118893,0,1,0,0,0,0,0,0,0,1,1260,100,37,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,-42.715515,0,
1.33611652918e+18,78134112,0,0,0,1,0,0,0,0,1,0,640,100,33,1,1,.42857143,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,,1,0
2.05844895793e+18,10463084,0,0,0,1,0,0,0,0,0,0,2440,50,64,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,-97.277069,0,
6.98000150708e+18,78133231,1,0,0,0,0,0,0,0,1,0,650,80,72,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,-20.05233,0,
1.95731865502e+18,10462583,0,0,1,0,0,0,0,0,0,0,1600,100,42,1,1,.2857143,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,,1,0
-7.60758888563e+18,78134212,0,0,0,0,0,0,0,0,1,0,590,80,47,7,3,.5714286,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,-154.01405,0,
-6.52997070063e+18,78132680,0,0,0,0,1,0,0,0,1,0,13760,70,64,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,-653.0639,0,
9.13260781122e+18,3590977,1,0,0,0,0,1,0,0,0,0,500,100,29,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,,1,0
6.31530308485e+18,78134430,1,0,0,0,0,0,0,0,1,0,11040,100,33,1,1,.14285715,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,-725.2373,0,
-7.56564202483e+18,3594294,0,0,0,0,1,1,0,0,0,0,2810,90,52,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,-78.167603,0,
-3.94352389673e+18,10463959,0,0,0,0,0,0,0,0,0,0,1140,90,49,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,,1,1
-7.67253644932e+18,10463015,0,0,0,1,0,0,0,0,0,0,910,90,52,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,,1,0
-8.49328955346e+18,42124249,0,0,0,0,0,0,0,1,0,0,1490,40,29,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,,1,0
2.76933949942e+18,80117566,0,1,0,0,0,0,0,0,0,1,630,100,20,1,1,.5714286,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,-82.71627,0,
5.09292297390e+18,78133691,0,0,0,1,0,0,0,0,1,0,2350,100,40,1,1,.14285715,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,-22.137184,0,
-7.94425347827e+17,78134201,0,0,0,0,0,0,0,0,1,0,850,100,33,2,2,.14285715,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,-69.660225,0,
2.64525898193e+18,5524608,0,0,0,0,0,0,1,0,0,0,880,100,58,1,1,.14285715,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,,1,0
5.19047113110e+17,3594339,0,0,1,0,0,1,0,0,0,0,3830,100,61,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,-109.63067,0,
2.56399737161e+18,42124269,0,0,0,0,1,0,0,1,0,0,3520,100,76,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,-79.294937,0,
-8.43902979780e+18,80119128,0,0,0,0,1,0,0,0,0,1,200,100,29,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,-87.613358,0,
-5.47927472407e+18,78133892,0,0,0,1,0,0,0,0,1,0,1750,100,51,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,,1,1
-7.23036903523e+18,10463525,0,0,0,1,0,0,0,0,0,0,1390,100,40,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,,1,0
-1.93837903994e+18,42124880,0,0,0,0,1,0,0,1,0,0,510,80,32,1,1,.42857143,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,-143.36716,0,
5.88073195822e+18,10463826,0,1,0,0,0,0,0,0,0,0,1870,100,45,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,-32.986538,0,
7.27801375825e+18,42124984,1,0,0,0,0,0,0,1,0,0,880,70,26,1,1,.14285715,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,-76.491867,0,
1.11646950449e+18,3592387,0,0,1,0,0,1,0,0,0,0,1460,90,41,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,-71.174545,0,
3.54984686521e+18,5521280,0,0,0,1,0,0,1,0,0,0,2350,100,19,1,1,.2857143,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,-134.23289,0,
7.62751039877e+18,10462415,0,0,1,0,0,0,0,0,0,0,510,80,35,1,4,.14285715,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,-38.072472,0,
5.27975129122e+18,42124918,1,0,0,0,0,0,0,1,0,0,6020,100,50,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,-429.91144,0,
4.20975226632e+18,80118921,0,0,1,0,0,0,0,0,0,1,730,100,56,2,1,.85714287,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,,1,0
-7.91988383524e+18,78134399,0,0,0,0,0,0,0,0,1,0,1280,100,24,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,,1,0
-8.07029717627e+18,78134187,0,0,0,0,0,0,0,0,1,0,3060,100,32,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,54.955399,0,
5.29518490040e+18,10462424,0,0,1,0,0,0,0,0,0,0,2220,100,39,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,51.505234,0,
-1.43426719047e+18,42125583,0,1,0,0,0,0,0,1,0,0,100,100,50,1,1,.2857143,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,-69.506042,0,
-5.90280379543e+18,80117788,0,0,1,0,0,0,0,0,0,1,1970,100,47,1,1,.2857143,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,-164.44254,0,
2.57693130894e+17,78136162,0,0,0,1,0,0,0,0,1,0,1800,100,52,2,2,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,-71.38018,0,
6.63542450628e+18,10463373,1,0,0,0,0,0,0,0,0,0,6970,100,31,1,1,.42857143,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,-477.34442,0,
4.84080290429e+18,78132904,0,0,0,0,1,0,0,0,1,0,1110,100,42,1,1,.42857143,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,-114.92165,0,
7.56229460949e+18,42126547,0,0,0,1,0,0,0,1,0,0,1780,100,38,2,2,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,-119.03797,0,
-4.06338271304e+18,3591003,0,0,0,0,0,1,0,0,0,0,1060,100,44,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,,1,0
4.40133510715e+18,10463561,1,0,0,0,0,0,0,0,0,0,730,100,37,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,,1,0
9.19366101764e+18,78133826,0,1,0,0,0,0,0,0,1,0,2970,100,46,2,2,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,-61.407413,0,
8.09412965350e+18,3591777,1,0,0,0,0,1,0,0,0,0,1200,100,61,1,2,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,-97.097694,0,
7.67547756935e+18,80118633,0,0,1,0,0,0,0,0,0,1,2700,100,25,1,1,.2857143,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,-138.08569,0,
2.66636107597e+17,3594126,0,0,0,0,0,1,0,0,0,0,2190,90,40,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,-26.462177,0,
-4.43173682168e+18,10463026,0,0,0,0,0,0,0,0,0,0,2480,100,45,2,3,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,-68.653763,0,
-7.86008894827e+18,42124526,0,1,0,0,0,0,0,1,0,0,2130,50,40,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,-5.905942,0,
1.53196521973e+18,42123994,0,1,0,0,0,0,0,1,0,0,920,100,67,1,1,.2857143,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,-86.927658,0,
8.22163839961e+17,80116795,1,0,0,0,0,0,0,0,0,1,550,100,45,1,4,.85714287,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,-94.092804,0,
-2.40413201189e+18,80116848,0,0,1,0,0,0,0,0,0,1,870,100,46,1,1,.42857143,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,-99.254837,0,
6.67308168136e+18,80118046,1,0,0,0,0,0,0,0,0,1,550,80,29,1,2,.14285715,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,-64.082809,0,
-3.73597343885e+18,10463127,0,0,0,0,0,0,0,0,0,0,6320,100,31,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,-396.53293,0,
-8.02124024141e+18,78134291,0,0,1,0,0,0,0,0,1,0,2680,100,50,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,-15.841629,0,
1.71022913417e+18,3594035,0,1,0,0,0,1,0,0,0,0,450,100,39,1,2,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,-3.034847,0,
